Site.Code,Site,Sampling.Time,Unique.ID,Plot.ID,Leaf.PercN,Leaf.PercC,Leaf.CHN.Moldy,Shoots.Zmarina.per.m2,Mean.Sheath.Width.cm.,Mean.Shealth.Length.cm.,Mean.Longest.Leaft.Length.cm.,,Epibiota.Periphyton,Epibiota.Macroalgae,Epibiota.MobileInvertebrate,Epibiota.Seagrass,Epibiota.SessileInvertebrate,Epibiota.SD.Periphyton,Epibiota.SD.SessileInvertebrate,Epibiota.SD.Macroalgae,Epibiota.SD.TotalEpibiota,Std.Total.Abund.Mesograzers,Std.Total.Abund.Molluscs,Std.Total.Abund.Crustaceans,Std.Total.Abund.Amphipods,Std.Abund.Gammarids,Std.Abund.Caprellids,Std.Abund.Isopods,Std.Abund.Gastropods,Std.Abund.Polychaetes,Plot.Grazer.Richness,Std.Total.Biomass.Mesograzers,Std.Total.Biomass.Molluscs,Std.Total.Biomass.Crustaceans,Std.Total.Biomass.Amphipods,Std.Biomass.Gammarids,Std.Biomass.Caprellids,Std.Biomass.Isopods,Std.Biomass.Gastropods,Std.Biomass.Polychaetes,Mean.Above.Zmarina.g,Mean.Above.OtherSeagrass.g,Mean.Above.Total.macrophytes.core.g,Mean.Below.Zmarina.g,Mean.Below.OtherSeagrass.g,Mean.Total.Below.macrophytes.core.g,Mean.Macroalgae.g,Mean.Total.Seagrass.Biomass.Above,Mean.Total.Seagrass.Biomass.Below,TOTAL.Seagrass.Biomass,TOTAL.Macrophyte.Biomass,Macroalgae,Pdn.Amphipod,Pdn.Caprellid,Pdn.Gastropod,Pdn.Isopod,Pdn.Lettuce,Pdn.Shrimp,Pdn.Squid,Pdn.Crustacean
BB,BB.A,1,BB.A.1.1,1,2.781622887,35.96013641,Y,986.7583397,0.75,13.65,65.675,,0.746,0,0,2.227,0,0.334979793,0,0,0.334979793,23.507109,0,23.507109,23.31753555,3.601895735,19.71563981,0.18957346,0,0,9,9.571563981,0,9.571563981,6.777251185,1.1507109,5.626540284,2.783317536,0,0,521.5,0,521.5,85.5,0,85.5,NA,521.5,85.5,607,607,182.708,0,NA,0,NA,0,NA,0,0
BB,BB.A,1,BB.A.1.2,2,2.948896885,37.0500412,Y,318.3091418,0.76,16.425,66.45,,0.677,0,0,2.793,0,0.242391694,0,0,0.242391694,2.813278675,0,2.813278675,2.813278675,2.813278675,0,0,0,0,7,0.946949602,0,0.946949602,0.942287597,0.942287597,0,0.004662005,0,0,380.5,0,380.5,77,0,77,NA,380.5,77,457.5,457.5,23.115,1,NA,0,NA,0,NA,0,1
BB,BB.A,1,BB.A.1.3,3,2.599090576,33.38251114,Y,350.140056,0.7625,14.425,75.5375,,0.594,0,0,3.71,0,0.160107817,0,0,0.160107817,10.37822878,0,10.37822878,10.37822878,3.6900369,6.688191882,0,0,0,6,3.735009225,0.027675277,3.707333948,3.707333948,0.877767528,2.829566421,0,0.027675277,0,313,0,313,44.5,0,44.5,NA,313,44.5,357.5,357.5,4.015,1,NA,0,NA,0,NA,1,1
BB,BB.A,1,BB.A.1.4,4,2.955928564,34.01363373,Y,286.4782277,0.8125,16.5375,112.525,,0.379,0,0,5.188,0,0.0730532,0,0,0.0730532,4.401760704,0.285828617,4.115932087,3.086949065,0.914651575,2.17229749,1.028983022,0.285828617,0,10,2.515063168,1.344652147,1.170411022,1.027439547,0.245355285,0.782084262,0.139655862,1.344652147,0,190,0,190,88.5,0,88.5,NA,190,88.5,278.5,278.5,0.892,0,NA,1,NA,0,NA,0,0
BB,BB.A,1,BB.A.1.5,5,3.295434713,36.24816132,Y,286.4782277,0.75,18.5,74.475,,0.485,0,0,3.138,0,0.154557043,0,0,0.154557043,2.765049771,0,2.765049771,2.370042661,0.869015642,1.501027018,0.39500711,0,0,9,9.760230684,0,9.760230684,1.138094486,0.180755254,0.957339232,8.622136198,0,0,49.5,0,49.5,11.5,0,11.5,NA,49.5,11.5,61,61,120.525,1,NA,1,NA,0,NA,1,1
BB,BB.A,1,BB.A.1.6,6,3.048199177,35.6439476,Y,429.7173415,0.825,14.3,51.625,,0.56,0,0,2.535,0,0.220907298,0,0,0.220907298,7.323411292,0,7.323411292,6.850933144,2.598629813,4.252303331,0.236239074,0,0,6,1.76021734,0,1.76021734,1.635719348,0.648712497,0.987006851,0.033782188,0,0,83,0,83,3.155,0,3.155,NA,83,3.155,86.155,86.155,13.921,1,NA,0,NA,0,NA,0,1
BB,BB.A,1,BB.A.1.7,7,2.973630905,34.91532516,Y,222.8163993,0.6,10.625,57.025,,0.541,0,0,1.674,0,0.323178017,0,0,0.323178017,3.441992306,0.404940271,3.037052035,3.037052035,1.41729095,1.619761085,0,0.404940271,0,6,3.774853209,2.814334886,0.960518324,0.960518324,0.451103462,0.509414861,0,2.814334886,0,75,0,75,35.5,0,35.5,NA,75,35.5,110.5,110.5,35.825,1,NA,0,NA,0,NA,0,1
BB,BB.A,1,BB.A.1.8,8,2.915632248,34.15293503,Y,159.1545709,0.7,12.575,67.4125,,2.061,0,0,2.309,0,0.892594197,0,0,0.892594197,1.771703366,0.12655024,1.645153126,1.645153126,0.379650721,1.265502404,0,0.12655024,0,4,0.993545938,0.129967097,0.863578841,0.863578841,0.206656543,0.656922298,0,0.129967097,0,122.5,0,122.5,61,0,61,NA,122.5,61,183.5,183.5,22.265,1,NA,0,NA,0,NA,1,1
BB,BB.A,1,BB.A.1.9,9,3.375249863,37.60074234,Y,413.8018844,0.75,13.8,61.775,,0.447,0,0,2.391,0,0.186951066,0,0,0.186951066,3.15258512,0,3.15258512,3.15258512,0.450369303,2.702215817,0,0,0,5,0.796613223,0.005404432,0.791208791,0.791208791,0.176184471,0.61502432,0,0.005404432,0,204.5,0,204.5,98,0,98,NA,204.5,98,302.5,302.5,3.371,0,NA,0,NA,0,NA,1,0
BB,BB.A,1,BB.A.1.10,10,3.239236355,34.98590469,Y,15.91545709,0.6175,7.225,29.325,,0.314,0,0,0.629,0,0.499205087,0,0,0.499205087,8.141901716,0,8.141901716,8.141901716,0.872346612,7.269555103,0,0,0,3,1.416400116,0,1.416400116,1.416400116,0.222448386,1.19395173,0,0,0,86,0,86,35,0,35,NA,86,35,121,121,24.615,0,NA,0,NA,0,NA,0,0
