"Site","Site.Code","Sampling.Time","Unique.ID","Plot.ID","Leaf.PercN","Leaf.PercC","Leaf.CHN.Moldy","Zostera.shoots.per.m2.core","Zostera.sheath.width","Zostera.sheath.length","Zostera.longest.leaf.length","periphyton.mass.per.g.zostera","Epibiota.Macroalgae","Epibiota.MobileInvertebrate","Epibiota.Seagrass","Epibiota.SessileInvertebrate","Epibiota.SD.Periphyton","Epibiota.SD.SessileInvertebrate","Epibiota.SD.Macroalgae","Epibiota.SD.TotalEpibiota","mesograzer.abund.per.g.plant","mollusc.abund.per.g.plant","crustacean.abund.per.g.plant","amphipod.abund.per.g.plant","gammarid.abund.per.g.plant","caprellid.abund.per.g.plant","isopod.abund.per.g.plant","gastropod.abund.per.g.plant","Std.Abund.Polychaetes","Plot.Grazer.Richness","mesograzer.mass.per.g.plant","mollusc.mass.per.g.plant","crustacean.mass.per.g.plant","amphipod.mass.per.g.plant","gammarid.mass.per.g.plant","caprellid.mass.per.g.plant","isopod.mass.per.g.plant","gastropod.mass.per.g.plant","Std.Biomass.Polychaetes","Zostera.aboveground.mean.mass","Mean.Above.OtherSeagrass.g","total.macrophytes.aboveground.mean.mass","Zostera.belowground.mean.mass","Mean.Below.OtherSeagrass.g","Mean.Total.Below.macrophytes.core.g","Mean.Macroalgae.g","Mean.Total.Seagrass.Biomass.Above","Mean.Total.Seagrass.Biomass.Below","TOTAL.Seagrass.Biomass","TOTAL.Macrophyte.Biomass","Macroalgae","amphipod.survival.24hr","caprellid.survival.24hr","gastropod.survival.24hr","isopod.survival.24hr","lettuce.survival.24hr","Pdn.Shrimp","squid.survival.24hr","Pdn.Crustacean","grazer.richness.plot","grazer.richness.site","Subsite","Subsite.Name","Ocean","Coast","Basin","Latitude","Longitude","Date.Collected","Temperature.C","Salinity.ppt","Day.length.hours","Depth.Categorical","Depth.m","Perc.Silt","Perc.Sand","Perc.Gravel","glaciation","mean.fetch","pop.density.2015","GenotypicRichness","AllelicRichness","Inbreeding","log10.mean.fetch","log10.Zostera.AG.mass","log10.macrophytes.total.AG.mass.core","log10.Zostera.BG.mass","log10.Zostera.shoots.core","log10.Zostera.sheath.width","log10.Zostera.sheath.length","log10.Zostera.longest.leaf.length","log10.periphyton.mass.per.g.zostera","log10.mesograzer.abund.per.g.plant","log10.crustacean.abund.per.g.plant","log10.amphipod.abund.per.g.plant","log10.gammarid.abund.per.g.plant","log10.gastropod.abund.per.g.plant","log10.mesograzer.mass.per.g.plant","log10.crustacean.mass.per.g.plant","log10.amphipod.mass.per.g.plant","log10.gammarid.mass.per.g.plant","log10.gastropod.mass.per.g.plant","log10.grazer.richness.plot","log10.grazer.richness.site","log10.Leaf.PercN","log10.GenotypicRichness","log10.AllelicRichness","crustacean.mean.body.mass","log10.crustacean.mean.body.mass","gastropod.mean.body.mass","log10.gastropod.mean.body.mass","mesograzer.mean.body.mass","log10.mesograzer.mean.body.mass","basin"
"BB.A","BB",1,"BB.A.1.1",1,2.781622887,35.96013641,"Y",986.7583397,0.75,13.65,65.675,0.746,0,0,2.227,0,0.334979793,0,0,0.334979793,23.507109,0,23.507109,23.31753555,3.601895735,19.71563981,0.18957346,0,0,9,9.571563981,0,9.571563981,6.777251185,1.1507109,5.626540284,2.783317536,0,0,521.5,0,521.5,85.5,0,85.5,NA,521.5,85.5,607,607,182.708,0,NA,0,NA,0,NA,0,0,11,26,"A","Westside Park, Bodega Bay","Pacific","East.Pacific","East",38.319755,-123.055136,"7/1/14",13,33,14.5,"Intertidal",NA,29.455,69.68,0,0,0.72625,5,1,6.72,0.1301,-0.138913854601613,2.71808629478309,2.71808629478309,1.93701610746481,2.99465070514204,-0.1249387366083,1.13513265137677,1.81740008145811,-0.127202960010402,1.3730428052819,1.3730428052819,1.36954118820207,0.568424182555233,-1,0.985496709180872,0.985496709180872,0.8374148868209,0.0971569347577892,-1,1.07918124604762,1.43136376415899,0.444298251034749,0,0.827369273053825,0.407177419435116,-0.390216314381125,NA,NA,0.407177419435116,-0.390216314381125,"East"
"BB.A","BB",1,"BB.A.1.2",2,2.948896885,37.0500412,"Y",318.3091418,0.76,16.425,66.45,0.677,0,0,2.793,0,0.242391694,0,0,0.242391694,2.813278675,0,2.813278675,2.813278675,2.813278675,0,0,0,0,7,0.946949602,0,0.946949602,0.942287597,0.942287597,0,0.004662005,0,0,380.5,0,380.5,77,0,77,NA,380.5,77,457.5,457.5,23.115,1,NA,0,NA,0,NA,0,1,11,26,"A","Westside Park, Bodega Bay","Pacific","East.Pacific","East",38.319755,-123.055136,"7/1/14",13,33,14.5,"Intertidal",NA,29.455,69.68,0,0,0.72625,5,1,6.72,0.1301,-0.138913854601613,2.5814945422909,2.5814945422909,1.89209460269048,2.50421135254026,-0.119186407719209,1.21550537823182,1.82249498527875,-0.169347186202576,0.464382029847726,0.464382029847726,0.464382029847726,0.464382029847726,-1,0.019925776139108,0.019925776139108,0.0179875697855174,0.0179875697855174,-1,1.07918124604762,1.43136376415899,0.469659586706274,0,0.827369273053825,0.336599999998223,-0.472885888362488,NA,NA,0.336599999998223,-0.472885888362488,"East"
"BB.A","BB",1,"BB.A.1.3",3,2.599090576,33.38251114,"Y",350.140056,0.7625,14.425,75.5375,0.594,0,0,3.71,0,0.160107817,0,0,0.160107817,10.37822878,0,10.37822878,10.37822878,3.6900369,6.688191882,0,0,0,6,3.735009225,0.027675277,3.707333948,3.707333948,0.877767528,2.829566421,0,0.027675277,0,313,0,313,44.5,0,44.5,NA,313,44.5,357.5,357.5,4.015,1,NA,0,NA,0,NA,1,1,11,26,"A","Westside Park, Bodega Bay","Pacific","East.Pacific","East",38.319755,-123.055136,"7/1/14",13,33,14.5,"Intertidal",NA,29.455,69.68,0,0,0.72625,5,1,6.72,0.1301,-0.138913854601613,2.49692964807321,2.49692964807321,1.65801139665711,2.54548037406093,-0.117760151981177,1.15911582182777,1.87816260725651,-0.226140447623313,1.02028787653289,1.02028787653289,1.02028787653289,0.578643438302734,-1,0.583766412968644,0.580620971222815,0.580620971222815,-0.00976438990362804,-0.893893191240654,1.07918124604762,1.43136376415899,0.414821414542013,0,0.827369273053825,0.357222222268259,-0.447061532123115,NA,NA,0.359888888959336,-0.443831561344137,"East"
"BB.A","BB",1,"BB.A.1.4",4,2.955928564,34.01363373,"Y",286.4782277,0.8125,16.5375,112.525,0.379,0,0,5.188,0,0.0730532,0,0,0.0730532,4.401760704,0.285828617,4.115932087,3.086949065,0.914651575,2.17229749,1.028983022,0.285828617,0,10,2.515063168,1.344652147,1.170411022,1.027439547,0.245355285,0.782084262,0.139655862,1.344652147,0,190,0,190,88.5,0,88.5,NA,190,88.5,278.5,278.5,0.892,0,NA,1,NA,0,NA,0,0,11,26,"A","Westside Park, Bodega Bay","Pacific","East.Pacific","East",38.319755,-123.055136,"7/1/14",13,33,14.5,"Intertidal",NA,29.455,69.68,0,0,0.72625,5,1,6.72,0.1301,-0.138913854601613,2.28103336724773,2.28103336724773,1.95182303531591,2.45860495877243,-0.090176630349088,1.21846985719556,2.05124902161052,-0.421246215573565,0.653382405881202,0.624893606360395,0.503375122473982,0.00631693384244169,-0.413605563772809,0.417482183904056,0.103944253008883,0.0520932644230102,-0.461733893563221,0.159763287352184,1.07918124604762,1.43136376415899,0.470693934243936,0,0.827369273053825,0.284361111228413,-0.546129797301358,4.70440000414654,0.672504241683704,0.571376623384932,-0.24307753179123,"East"
"BB.A","BB",1,"BB.A.1.5",5,3.295434713,36.24816132,"Y",286.4782277,0.75,18.5,74.475,0.485,0,0,3.138,0,0.154557043,0,0,0.154557043,2.765049771,0,2.765049771,2.370042661,0.869015642,1.501027018,0.39500711,0,0,9,9.760230684,0,9.760230684,1.138094486,0.180755254,0.957339232,8.622136198,0,0,49.5,0,49.5,11.5,0,11.5,NA,49.5,11.5,61,61,120.525,1,NA,1,NA,0,NA,1,1,11,26,"A","Westside Park, Bodega Bay","Pacific","East.Pacific","East",38.319755,-123.055136,"7/1/14",13,33,14.5,"Intertidal",NA,29.455,69.68,0,0,0.72625,5,1,6.72,0.1301,-0.138913854601613,1.70329137811866,1.70329137811866,1.09691001300806,2.45860495877243,-0.1249387366083,1.26717172840301,1.87201051188708,-0.314168725373936,0.457132170834965,0.457132170834965,0.392704454181485,-0.0136692124441192,-1,0.993887075551386,0.993887075551386,0.0927537894196245,-0.551672107686781,-1,1.07918124604762,1.43136376415899,0.517912712102818,0,0.827369273053825,3.52985714266913,0.547757129352146,NA,NA,3.52985714266913,0.547757129352146,"East"
"BB.A","BB",1,"BB.A.1.6",6,3.048199177,35.6439476,"Y",429.7173415,0.825,14.3,51.625,0.56,0,0,2.535,0,0.220907298,0,0,0.220907298,7.323411292,0,7.323411292,6.850933144,2.598629813,4.252303331,0.236239074,0,0,6,1.76021734,0,1.76021734,1.635719348,0.648712497,0.987006851,0.033782188,0,0,83,0,83,3.155,0,3.155,NA,83,3.155,86.155,86.155,13.921,1,NA,0,NA,0,NA,0,1,11,26,"A","Westside Park, Bodega Bay","Pacific","East.Pacific","East",38.319755,-123.055136,"7/1/14",13,33,14.5,"Intertidal",NA,29.455,69.68,0,0,0.72625,5,1,6.72,0.1301,-0.138913854601613,1.92427928606188,1.92427928606188,0.61857102812013,2.63419235763709,-0.0835460514500749,1.15533603746506,1.71286006466446,-0.251734427331259,0.870603523182041,0.870603523182041,0.842043111365124,0.431143313901546,-1,0.269563688329982,0.269563688329982,0.239479504556849,-0.125684917863219,-1,1.07918124604762,1.43136376415899,0.484043341488379,0,0.827369273053825,0.240354838724248,-0.619147130410359,NA,NA,0.240354838724248,-0.619147130410359,"East"
"BB.A","BB",1,"BB.A.1.7",7,2.973630905,34.91532516,"Y",222.8163993,0.6,10.625,57.025,0.541,0,0,1.674,0,0.323178017,0,0,0.323178017,3.441992306,0.404940271,3.037052035,3.037052035,1.41729095,1.619761085,0,0.404940271,0,6,3.774853209,2.814334886,0.960518324,0.960518324,0.451103462,0.509414861,0,2.814334886,0,75,0,75,35.5,0,35.5,NA,75,35.5,110.5,110.5,35.825,1,NA,0,NA,0,NA,0,1,11,26,"A","Westside Park, Bodega Bay","Pacific","East.Pacific","East",38.319755,-123.055136,"7/1/14",13,33,14.5,"Intertidal",NA,29.455,69.68,0,0,0.72625,5,1,6.72,0.1301,-0.138913854601613,1.88081359228079,1.88081359228079,1.56229286445647,2.34989190464348,-0.221848749616356,1.02632893872235,1.75606529394869,-0.266722466067418,0.549247613470269,0.496521722499448,0.496521722499448,0.181068867447093,-0.296759991206604,0.588255254783282,0.0255181768066923,0.0255181768066923,-0.258766860753201,0.464539455047337,1.07918124604762,1.43136376415899,0.473287061741562,0,0.827369273053825,0.316266666797495,-0.499946578519822,6.95000000629723,0.841984804983617,1.09670588235185,0.0400901728818409,"East"
"BB.A","BB",1,"BB.A.1.8",8,2.915632248,34.15293503,"Y",159.1545709,0.7,12.575,67.4125,2.061,0,0,2.309,0,0.892594197,0,0,0.892594197,1.771703366,0.12655024,1.645153126,1.645153126,0.379650721,1.265502404,0,0.12655024,0,4,0.993545938,0.129967097,0.863578841,0.863578841,0.206656543,0.656922298,0,0.129967097,0,122.5,0,122.5,61,0,61,NA,122.5,61,183.5,183.5,22.265,1,NA,0,NA,0,NA,1,1,11,26,"A","Westside Park, Bodega Bay","Pacific","East.Pacific","East",38.319755,-123.055136,"7/1/14",13,33,14.5,"Intertidal",NA,29.455,69.68,0,0,0.72625,5,1,6.72,0.1301,-0.138913854601613,2.09166695759568,2.09166695759568,1.79239168949825,2.20453933818135,-0.154901959985743,1.09950799372797,1.82874043329622,0.314099063295284,0.272237021369373,0.241833539523966,0.241833539523966,-0.319074898371979,-0.644835473407018,0.0388370317274356,-0.0161127451388603,-0.0161127451388603,-0.513347764521311,-0.638334297084777,1.07918124604762,1.43136376415899,0.464732745045026,0,0.827369273053825,0.524923076978064,-0.279904334101877,1.02700000410904,0.0115704453348959,0.560785714508825,-0.251203058145909,"East"
"BB.A","BB",1,"BB.A.1.9",9,3.375249863,37.60074234,"Y",413.8018844,0.75,13.8,61.775,0.447,0,0,2.391,0,0.186951066,0,0,0.186951066,3.15258512,0,3.15258512,3.15258512,0.450369303,2.702215817,0,0,0,5,0.796613223,0.005404432,0.791208791,0.791208791,0.176184471,0.61502432,0,0.005404432,0,204.5,0,204.5,98,0,98,NA,204.5,98,302.5,302.5,3.371,0,NA,0,NA,0,NA,1,0,11,26,"A","Westside Park, Bodega Bay","Pacific","East.Pacific","East",38.319755,-123.055136,"7/1/14",13,33,14.5,"Intertidal",NA,29.455,69.68,0,0,0.72625,5,1,6.72,0.1301,-0.138913854601613,2.31281182621209,2.31281182621209,1.99563519459755,2.61784072067424,-0.1249387366083,1.13987908640124,1.79081275407412,-0.349595330131968,0.51222867084856,0.51222867084856,0.51222867084856,-0.259345796991821,-1,-0.04739486056995,-0.0500205382116835,-0.0500205382116835,-0.55880074410861,-0.977141127712876,1.07918124604762,1.43136376415899,0.528305928309411,0,0.827369273053825,0.250971428489138,-0.600375717386659,NA,NA,0.252685714319428,-0.597419310385655,"East"
"BB.A","BB",1,"BB.A.1.10",10,3.239236355,34.98590469,"Y",15.91545709,0.6175,7.225,29.325,0.314,0,0,0.629,0,0.499205087,0,0,0.499205087,8.141901716,0,8.141901716,8.141901716,0.872346612,7.269555103,0,0,0,3,1.416400116,0,1.416400116,1.416400116,0.222448386,1.19395173,0,0,0,86,0,86,35,0,35,NA,86,35,121,121,24.615,0,NA,0,NA,0,NA,0,0,11,26,"A","Westside Park, Bodega Bay","Pacific","East.Pacific","East",38.319755,-123.055136,"7/1/14",13,33,14.5,"Intertidal",NA,29.455,69.68,0,0,0.72625,5,1,6.72,0.1301,-0.138913854601613,1.93951925261862,1.93951925261862,1.55630250076729,1.22828373780136,-0.209363038068297,0.858837851428585,1.46723802078757,-0.502932063601495,0.916027431293476,0.916027431293476,0.916027431293476,-0.0121788946973985,-1,0.180813808976606,0.180813808976606,0.180813808976606,-0.491539792561491,-1,1.07918124604762,1.43136376415899,0.510442638015509,0,0.827369273053825,0.173964285667631,-0.759539901886921,NA,NA,0.173964285667631,-0.759539901886921,"East"
