"Site","Subsite","Subsite.Name","Ocean","Coast","Basin","Latitude","Longitude","Date.Collected","Temperature.C","Salinity.ppt","Day.length.hours","Depth.Categorical","Depth.m","Perc.Silt","Perc.Sand","Perc.Gravel","glaciation","mean.fetch","pop.density.2015","GenotypicRichness","AllelicRichness","Inbreeding","Zostera.AG.mass.site","macrophytes.total.AG.mass.core.site","Zostera.BG.mass.site","Zostera.shoots.core.site","Zostera.sheath.width.site","Zostera.sheath.length.site","Zostera.longest.leaf.length.site","periphyton.mass.per.g.zostera.site","mesograzer.abund.per.g.plant.site","crustacean.abund.per.g.plant.site","amphipod.abund.per.g.plant.site","gammarid.abund.per.g.plant.site","caprellid.abund.per.g.plant.site","isopod.abund.per.g.plant.site","gastropod.abund.per.g.plant.site","mesograzer.mass.per.g.plant.site","crustacean.mass.per.g.plant.site","amphipod.mass.per.g.plant.site","gammarid.mass.per.g.plant.site","caprellid.mass.per.g.plant.site","isopod.mass.per.g.plant.site","gastropod.mass.per.g.plant.site","crustacean.mean.body.mass.site","log10.crustacean.mean.body.mass.site","gastropod.mean.body.mass.site","log10.gastropod.mean.body.mass.site","mesograzer.mean.body.mass.site","log10.mesograzer.mean.body.mass.site","grazer.richness.plot.site","amphipod.survival.24hr.site","gastropod.survival.24hr.site","squid.survival.24hr.site","Leaf.PercN.site","log10.Zostera.AG.mass.site","log10.macrophytes.total.AG.mass.core.site","log10.Zostera.BG.mass.site","log10.Zostera.shoots.core.site","log10.Zostera.sheath.width.site","log10.Zostera.sheath.length.site","log10.Zostera.longest.leaf.length.cm.site","log10.periphyton.mass.per.g.zostera.site","log10.mesograzer.abund.per.g.plant.site","log10.crustacean.abund.per.g.plant.site","log10.amphipod.abund.per.g.plant.site","log10.gammarid.abund.per.g.plant.site","log10.gastropod.abund.per.g.plant.site","log10.mesograzer.mass.per.g.plant.site","log10.crustacean.mass.per.g.plant.site","log10.amphipod.mass.per.g.plant.site","log10.gammarid.mass.per.g.plant.site","log10.gastropod.mass.per.g.plant.site","log10.grazer.richness.plot.site","log10.Leaf.PercN.site","log10.mean.fetch","log10.GenotypicRichness","log10.AllelicRichness","grazer.richness.site","log10.grazer.richness.site"
"BB.A","A","Westside Park, Bodega Bay","Pacific","East.Pacific","East",38.319755,-123.055136,"7/1/14",13,33,14.5,"Intertidal",NA,29.455,69.68,0,0,0.72625,5,1,6.72,0.1301,186.85,186.85,63.45775,327.062643237,0.74425,14.72,67.811875,0.86605,6.6905742347,6.45536718405,6.26808895055,1.5392498089,4.7288391416,0.11913114545,0.23520705095,3.6238395153,3.2933001354,2.35381319095,0.6763950849,1.67741810595,0.93232716825,0.33053938,0.566128062195068,-0.375481423600774,1.93074119278469,0.0234296101180346,0.654250306805969,-0.303042283341207,11,0.526315789473684,0.1875,0.4,2.95128000975,2.17483035194805,2.17483035194805,1.68797409125828,2.40681630705629,-0.131490549758177,1.14361791790011,1.81013199852622,-0.156325027899441,0.668969350298441,0.63562881208705,0.617154484463445,0.0688766503258603,-0.672349521268286,0.378759951854446,0.284722411148121,0.206277020338656,-0.299084343539922,-0.638163271373459,1.07918124604762,0.467901435869614,-0.138913854601613,0,0.827369273053825,26,1.43136376415899
"BB.B","B","Sacramento Landing, Tomales Bay","Pacific","East.Pacific","East",38.1496437,-122.9063846,"7/1/14",18.4,34,14.5,"Intertidal",NA,NA,NA,NA,0,0.5825,5,0.95,6.54,0.0757,241.05,241.05,183.45,389.928698771,0.823125,17.06125,73.30875,0.5294,5.41867501268421,4.78647414684211,3.83658956736842,0.355623009894737,3.48096655757895,0.0325435834736842,0.632200866210526,4.54139361452632,1.67258298194737,1.20184160452632,0.0968435537894737,1.10499805078947,0.173661346,2.86881063257895,0.386901509363973,-0.501579464363504,4.72839359313461,0.481713456423581,0.922681082855665,-0.174531439700912,0,0.85,0.15,0.55,2.07589790215,2.36656610797771,2.36656610797771,2.24322536564847,2.50346903382101,-0.0871091880591195,1.22092681819923,1.8568656337596,-0.306174261040455,0.639163043453787,0.586412786939424,0.461260582200516,-0.456363668106464,-0.286221283889252,0.481660899801214,0.133667204310045,-0.0191596685181804,-0.743927655727889,0.106833453446973,0,0.307456607533188,-0.234704070301943,-0.0222763947111523,0.815577748324267,19,1.30102999566398
"BC.A","A","Tsawwassen","Pacific","East.Pacific","East",49,-123.1,"5/16/14",24.5,26,14,"Intertidal",NA,13.895,86.04,0,0,7.3,5,1,5.2,0.0372,45.4375,45.4375,75.8125,75.0300119992857,0.7545,16.7416,59.6941,0.035585,5.90894550611765,3.18082954452941,2.88076823970588,1.668950233,1.21181800664706,0.139639494352941,1.69818024088235,20.6256019643529,4.08609124752941,2.18299379482353,1.87802127135294,0.304972523705882,1.83974455188235,9.34126021447059,1.38002200680727,-0.016229413926197,5.00861176311434,0.673711585321084,3.50933504539673,0.501532207025167,10,1,0.3,0.65,2.7535080612,1.615899597544,1.615899597544,1.83368354656505,1.81700215403612,-0.126279978535178,1.21279478068938,1.76710251636642,-1.50079297694467,0.75061188080805,0.464695393361889,0.423168283775735,0.20714553971233,0.204586008946329,1.24666055357894,0.46052687375466,0.220843319815467,0.11419712285467,0.854998064386565,1.04139268515823,0.433926704343997,0.863322860120456,0,0.716003343634799,15,1.20411998265592
"BC.B","B","White Rock","Pacific","East.Pacific","East",49,-122.8,"5/29/14",22.5,26,14,"Intertidal",NA,NA,NA,NA,0,7.8,250,0.95,6,0.0775,70.35,70.35,253.175,210.084033609,0.5535,9.987,50.169,0.05265,41.2151470605,24.52342943535,23.13013021075,1.05918551395,22.0709446967,0.0673741284,13.2263871393,64.915192695,15.4287139692,12.81815305795,0.5255068194,12.29264623915,2.0590353168,17.8093903349,0.656233416185203,-0.237951855998948,1.53817528792829,0.0613976423490514,1.57054573287652,0.141869824501662,9,0.368421052631579,0.294117647058824,0.25,1.97843164205,1.78871602594962,1.78871602594962,2.39297444514067,2.21552943385777,-0.258348775221173,0.992688479618301,1.68850309037684,-1.30526640760293,1.59031838816235,1.34902479380617,1.32151293829369,-0.135896268057067,1.02223425863523,1.7319652160934,1.11297194478443,1.04027364662851,-0.403681230030499,1.08179314900913,1,0.293021293461701,0.89209460269048,-0.0222763947111523,0.778151250383644,16,1.23044892137827
"CR.A","A","Posedarje","Atlantic","East.Atlantic","East",44.21154996,15.4906946,"5/17/14",17,25,14.85,"Subtidal",NA,NA,NA,NA,0,1.351875,250,0.84,4.06,-0.1127,80.325,104.541,43.5,332.633053265,0.52945833335,9.6884166667,47.2617916665,0.433685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0.85,0.4,0.842105263157895,1.5283031107,1.88881493188578,2.00622266340203,1.62787005849657,2.51377596290725,-0.277144978835577,0.982278701220897,1.67148722222213,-0.486750629909838,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0.183121860032823,0.130936536783167,-0.0757207139381184,0.608526033577194,0,0
"CR.B","B","Sveti Duh","Atlantic","East.Atlantic","East",44.20557132,15.47773378,"6/5/14",19,20,15.383,"Subtidal",NA,NA,NA,NA,0,1.625,250,1,6.13,0.0594,39.5,40.9210526315789,39.1578947368421,447.22434431,0.4685,5.18391666665,27.60055,0.16621,0.73922614905,0.0331081976,0,0,0,0.0331081976,0.70611795145,8.86662713075,1.225235068,0,0,0,1.225235068,7.64139206275,37.006999982385,1.5682838799099,11.1984545442546,0.997527602175656,13.3491666640988,1.04509062532018,2,0.9,0.15,0.8,1.49618861665,1.59222224961465,1.60953569573383,1.58486167677062,2.64067690522842,-0.330231580806256,0.712285752773301,1.43829778496392,-0.835992291212922,-0.376040786049567,-0.955897579793261,-1,-1,-0.420143206256305,0.224091677399444,-0.880449095092745,-1,-1,0.104540772492189,0.477121254719662,0.167780186740781,0.210853365314893,0,0.787460474518415,2,0.477121254719662
"ES.A","A","South Bay","Atlantic","West.Atlantic","West",37.265686,-75.812668,"6/24/14",28.05,35.42,14.683,"Shallow.Subtidal",NA,NA,NA,NA,0,4.994375,25,1,6.09,0.0623,182.3,182.3,180.45,725.744843395,0.4,9.133,46.9555,0.12602,10.18574246105,8.12577703345,6.64586806125,6.52986996255,0.1159980987,1.3073946051,0.52758171005,13.7252050833,7.7354281381,2.41171335125,2.4009636028,0.01074974845,5.32371478745,3.17456154825,1.16773651394423,-0.129324437971214,5.2683461528257,0.225849583464106,1.50236697449658,0.00405502445822479,5,NA,0.25,1,1.84127966347368,2.2364765160585,2.2364765160585,2.24316282202943,2.84256878713805,-0.399703230912598,0.956315716461586,1.65685019039046,-0.924875922111597,0.920749610926947,0.802737571200868,0.686654286179999,0.671810938222448,-0.411422843806502,0.92763105554148,0.679697064630813,0.292367253149776,0.289786039296442,-0.233875264926628,0.778151250383644,0.262718911710308,0.698481148010606,0,0.784617292632875,11,1.07918124604762
"ES.B","B","Cobb Bay","Atlantic","West.Atlantic","West",37.31855,-75.789076,"6/25/14",27.7,35.64,14.683,"Shallow.Subtidal",NA,NA,NA,NA,0,2.7625,25,1,5.64,0.0266,131.85,131.85,102.55,472.689075625,0.4379,12.148,57.4065,0.04917,9.27846754705556,7.09400377372222,3.42645885388889,3.29675291005556,0.129705943833333,3.17158575111111,0.674570734055556,21.5985884415556,12.0545753199444,0.934035031611111,0.899237893555556,0.0347971380555556,11.1205402891111,4.35904699616667,1.64948437548706,0.0799189737188098,6.32640833359333,0.369943602532996,2.54449461192117,0.266711370343423,6,NA,0.8,0.722222222222222,1.84840051126316,2.09131449567053,2.09131449567053,1.98348827834351,2.66772158375725,-0.361009613863277,1.08337747066784,1.75712724847738,-1.34681330304051,0.930747412309792,0.802202717464825,0.350845978685568,0.332690963213985,-0.397351280375047,1.19831085627251,0.885814984039643,-0.170642528125589,-0.181685680401659,-0.198449933050952,0.845098040014257,0.263317378704057,0.441302286693167,0,0.751279103983342,10,1.04139268515823
"FI.A","A","Fër_","Atlantic","East.Atlantic","East",59.92025,21.79618333,"6/18/14",14,6.5,19,"Subtidal",NA,3.67,96.33,0,1,2.265,1,0.11,1.29,-0.8,30.775,131.1,88.65,206.900942191,0.3425,6.390375,25.22625,0.27575,183.4886133195,1.09768554785,0.50997556515,0.50997556515,0,0.58770998255,182.390927781,63.517260117,4.160568313,1.91735617015,1.91735617015,0,2.24321214275,59.3566918045,3.65821124390446,0.535483569818467,0.439975913459486,-0.420656779760595,0.481994561308191,-0.38388383797691,4,0.6,0,0.0526315789473684,2.4592936039,1.42720118397127,2.01567936421589,1.82183905757706,2.28241971708548,-0.466263719939786,0.800882836210883,1.40053498547328,-0.813212716223656,2.06322547780302,-0.0740413414793696,-0.450188730573533,-0.450188730573533,2.05735084519278,1.67997079768442,0.373757512407543,-0.191983370981456,-0.191983370981456,1.63746130798669,0.698970004336019,0.388762175999154,0.355068206348851,-0.958607314841775,0.110589710299249,7,0.903089986991944
"FI.B","B","óngs_","Atlantic","East.Atlantic","East",60.10785,21.70995,"8/28/14",17,6.5,14.5,"Subtidal",NA,6.34,92.12,1.54,1,1.8925,1,0.11,1.41,-0.68,45.825,53.25,68.85,466.322892785,0.3245,6.58,30.827,0.006955,13.00351251875,2.0018766683,0.8391177167,0.8391177167,0,1.16275895175,11.0016358508,19.01361816335,6.1878551261,1.8927837111,1.8927837111,0,4.29507141495,12.82576303535,2.81371561076085,0.312216289471447,1.25776891312937,0.0577114765026469,1.56475677561267,0.153730642028141,3,0.35,0,0.05,2.06128189565,1.65078795796716,1.7111052187966,1.82106402142348,2.63168473643237,-0.491154024735208,0.813141252668757,1.48420844739371,-2.18152914031299,1.07681879744965,0.1153941049579,-0.280178365089913,-0.280178365089913,0.98906019683733,1.22950749409994,0.396337771636019,-0.150555137706835,-0.150555137706835,1.04626884464797,0.602059991327962,0.31338949404808,0.27703588817211,-0.958607314841775,0.14921911265538,9,1
