Site.Code,Site,Subsite,Sampling.Time,Month,Data.Entered.by,Plot.ID,unique.ID,Prior.to.change,Previous.Spellings,Other.notes,Original.Species,Juvenile,Subspecies,Species,Subgenus,Genus,Tribe,Subfamily,Family,Superfamily,Subsection,Section,Parvorder,Infraorder,Suborder,Order,Superorder,Infraclass,Subclass,Class,Group,Taxa,Type.Partner,Type,Total.Abundance,Notes,Total.Abundance.to.1.mm,Measured.size,Mesured.Size,Mesured.Size,Mesured.Size,Mesured.Size,Mesured.Size,Mesured.Size,Mesured.Size,Mesured.Size,Mesured.Size,Dry.Mass.g,individuals/SizeCount,DW.(g),Vegetative.or.Flower,Shoot.ID
PO,PO.A,A,1,August,MOREAU.Chlo_,8,PO.A.1.8,A4,A4,?A4A5A6saygammarid,Amphipod,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Amphipoda,Peracarida,NA,Eumalacostraca,Malacostraca,Gammarid,Crustacean.Mesograzer,Mesograzer,Mesograzer,1,mangled,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PO,PO.A,A,1,August,MOREAU.Chlo_,13,PO.A.1.13,A5,A5,?A4A5A6saygammarid,Amphipod,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Amphipoda,Peracarida,NA,Eumalacostraca,Malacostraca,Gammarid,Crustacean.Mesograzer,Mesograzer,Mesograzer,4,mangled,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PO,PO.B,B,1,July,MOREAU.Chlo_,3,PO.B.1.3,A6,A6,?A4A5A6saygammarid,Amphipod,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Amphipoda,Peracarida,NA,Eumalacostraca,Malacostraca,Gammarid,Crustacean.Mesograzer,Mesograzer,Mesograzer,3,mangled,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PO,PO.B,B,1,July,MOREAU.Chlo_,18,PO.B.1.18,A6,A6,?A4A5A6saygammarid,Amphipod,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Amphipoda,Peracarida,NA,Eumalacostraca,Malacostraca,Gammarid,Crustacean.Mesograzer,Mesograzer,Mesograzer,1,mangled,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PO,PO.A,A,1,August,MOREAU.Chlo_,20,PO.A.1.20,A6,A6,?A4A5A6saygammarid,Amphipod,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Amphipoda,Peracarida,NA,Eumalacostraca,Malacostraca,Gammarid,Crustacean.Mesograzer,Mesograzer,Mesograzer,3,mangled,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OR,OR.B,B,1,August,JB,20,OR.B.1.20,Abra.aegualis,Abra.aegualis,NA,Abra.aequalis,N,NA,Abra.aequalis,NA,Abra,NA,NA,Semelidae,Tellinoidea,NA,NA,NA,NA,NA,Cardiida,Imparidentia,Euheterodonta,Heterodonta,Bivalvia,Bivalve,Sessile.FALSE,FALSE,FALSE,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OR,OR.B,B,1,August,JB,20,OR.B.1.20,Abra.aegualis,Abra.aegualis,NA,Abra.aequalis,N,NA,Abra.aequalis,NA,Abra,NA,NA,Semelidae,Tellinoidea,NA,NA,NA,NA,NA,Cardiida,Imparidentia,Euheterodonta,Heterodonta,Bivalvia,Bivalve,Sessile.FALSE,FALSE,FALSE,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OR,OR.B,B,1,August,JB,2,OR.B.1.2,Abra.aegualis,Abra.aegualis,NA,Abra.aequalis,N,NA,Abra.aequalis,NA,Abra,NA,NA,Semelidae,Tellinoidea,NA,NA,NA,NA,NA,Cardiida,Imparidentia,Euheterodonta,Heterodonta,Bivalvia,Bivalve,Sessile.FALSE,FALSE,FALSE,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OR,OR.B,B,1,August,JB,16,OR.B.1.16,Abra.aegualis,Abra.aegualis,NA,Abra.aequalis,N,NA,Abra.aequalis,NA,Abra,NA,NA,Semelidae,Tellinoidea,NA,NA,NA,NA,NA,Cardiida,Imparidentia,Euheterodonta,Heterodonta,Bivalvia,Bivalve,Sessile.FALSE,FALSE,FALSE,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OR,OR.B,B,1,August,JB,18,OR.B.1.18,Abra.lioica,NA,NA,Abra.lioica,N,NA,Abra.lioica,NA,Abra,NA,NA,Semelidae,Tellinoidea,NA,NA,NA,NA,NA,Cardiida,Imparidentia,Euheterodonta,Heterodonta,Bivalvia,Bivalve,Sessile.FALSE,FALSE,FALSE,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
