"","Site","kurtosis"
"1","BB.A",23.9633221473506
"2","BB.B",13.2975689413844
"3","BC.A",2.76806862903985
"4","BC.B",9.63645173461064
"5","CR.A",NA
"6","CR.B",1.5
"7","ES.A",1.77237812629849
"8","ES.B",4.31179959631551
"9","FI.A",5.16640256774252
"10","FI.B",2.73950457997487
"11","FR.A",6.61744323332924
"12","FR.B",5.91967003523082
"13","IR.A",4.19545354410733
"14","IR.B",3.32195228388161
"15","JN.A",5.44515309982185
"16","JN.B",11.7682855019161
"17","JS.A",2.24524829355947
"18","JS.B",2.80759752048258
"19","KO.A",7.24548467979543
"20","KO.B",13.6842760191886
"21","LI.1",10.0818698706401
"22","LI.2",8.1062181785614
"23","MA.A",5.15128437884367
"24","MA.B",4.64522563503809
"25","MX.A",5.68719554045367
"26","MX.B",8.87286290175569
"27","NC.A",13.1245045037581
"28","NC.B",4.89451726408494
"29","NN.A",3.55028722026887
"30","NN.B",3.51626062290495
"31","OR.A",3.24018329334157
"32","OR.B",5.46975468500659
"33","PO.A",6.32706966187659
"34","PO.B",4.09061750306252
"35","QU.A",4.07280066612456
"36","QU.B",4.19857747160048
"37","RU.A",1
"38","RU.B",1.5
"39","SD.A",13.8861468821545
"40","SD.B",23.1403212645523
"41","SF.A",4.5826991709036
"42","SF.B",3.34807676689056
"43","SW.A",7.00237003591013
"44","SW.B",4.99807627951387
"45","UK.A",16.4015770793813
"46","UK.B",5.49811205847097
"47","VA.A",10.6192170088961
"48","VA.B",2.21955233134242
"49","WA.A",10.4958357865079
"50","WA.B",18.9524238027967
