Site.Code,Site,Subsite,Subsite.Name,Ocean,Coast,Basin,First.Year.In.ZEN,Latitude,Longitude,Sampling.Time,Month,Date.Collected,Temperature.C,Salinity.ppt,Day.length.hours,Depth.Categorical,Depth.m,Perc.Silt,Perc.Sand,Perc.Gravel,GenotypicRichness,AllelicRichness,Inbreeding,NOTES,Mean.Shoots.Zmarina.per.m2,SD.Shoots.Zmarina.per.m2,SE.Shoots.Zmarina.per.m2,Std.Total.Abund.Mesograzers1,Std.Total.Abund.Molluscs1,Std.Total.Abund.Crustacean1s,Std.Total.Abund.Amphipods1,Std.Abund.Gammarids1,Std.Abund.Caprellids1,Std.Abund.Isopods1,Std.Abund.Gastropods1,Std.Abund.Polychaetes1,SE.Std.Total.Abund.Mesograzers,SE.Std.Total.Abund.Molluscs,SE.Std.Total.Abund.Crustaceans,SE.Std.Total.Abund.Amphipods,SE.Std.Abund.Gammaridss,SE.Std.Abund.Caprellids,SE.Std.Abund.Isopods,SE.Std.Abund.Gastropods,SE.Std.Abund.Polychaetes,SD.Std.Total.Abund.Mesograzers,SD.Std.Total.Abund.Molluscs,SD.Std.Total.Abund.Crustaceans,SD.Std.Total.Abund.Amphipods,SD.Std.Abund.Gammaridss,SD.Std.Abund.Caprellids,SD.Std.Abund.Isopods,SD.Std.Abund.Gastropods,SD.Std.Abund.Polychaetes,Std.Total.Biomass.Mesograzers1,Std.Total.Biomass.Molluscs1,Std.Total.Biomass.Crustacean1s,Std.Total.Biomass.Amphipods1,Std.Biomass.Gammarids1,Std.Biomass.Caprellids1,Std.Biomass.Isopods1,Std.Biomass.Gastropods1,Std.Biomass.Polychaetes1,SE.Std.Total.Biomass.Mesograzers,SE.Std.Total.Biomass.Molluscs,SE.Std.Total.Biomass.Crustaceans,SE.Std.Total.Biomass.Amphipods,SE.Std.Biomass.Gammaridss,SE.Std.Biomass.Caprellids,SE.Std.Biomass.Isopods,SE.Std.Biomass.Gastropods,SE.Std.Biomass.Polychaetes,SD.Std.Total.Biomass.Mesograzers,SD.Std.Total.Biomass.Molluscs,SD.Std.Total.Biomass.Crustaceans,SD.Std.Total.Biomass.Amphipods,SD.Std.Biomass.Gammaridss,SD.Std.Biomass.Caprellids,SD.Std.Biomass.Isopods,SD.Std.Biomass.Gastropods,SD.Std.Biomass.Polychaetes,Mean.Grazer.Richness,SE.Grazer.Richness,SD.Grazer.Richness,Total.Grazer.Richness,Mean.Site.Std.Periphyton,SD.Site.Std.Periphyton,SE.Site.Std.Periphyton,Mean.Site.Std.SessileInvertebrate,SD.Site.Std.SessileInvertebrate,SE.Site.Std.SessileInvertebrate,Mean.Site.Std.TotalEpibiota,SD.Site.Std.TotalEpibiota,SE.Site.Std.TotalEpibiota,Mean.Macroalgae.g.m2,SD.Mean.Macroalgae.g.m2,SE.Mean.Macroalgae.g.m2,Sheath.Width.cm.,Shealth.Length.cm.,Longest.Leaf.Length.cm.,SD.Sheath.Width.cm.,SD.Shealth.Length.cm.,SD.Longest.Leaf.Length.cm.,SE.Sheath.Width.cm.,SE.Shealth.Length.cm.,SE.Longest.Leaf.Length.cm.,Site.Code,Site,Below.Zmarina.g,Below.OtherSeagrass.g,Above.Zmarina.g,Above.OtherSeagrass.g,Macroalgae.g,TOTAL.Seagrass.Biomass,Total.Seagrass.Biomass.Above,Total.Seagrass.Biomass.Below,SD.Below.Zmarina.g,SD.Below.OtherSeagrass.g,SD.Mean.Above.Zmarina.g,SD.Above.OtherSeagrass.g,SD.Macroalgae.g,SD.Mean.Total.Seagrass.Biomass.Above,SD.Mean.Total.Seagrass.Biomass.Below,SE.Below.Zmarina.g,SE.Below.OtherSeagrass.g,SE.Mean.Above.Zmarina.g,SE.Above.OtherSeagrass.g,SE.Macroalgae.g,SE.Mean.Total.Seagrass.Biomass.Above,SE.Mean.Total.Seagrass.Biomass.Below,Mean.Leaf.PercN,Mean.Leaf.PercC,SD.Mean.Leaf.PercN,SD.Mean.Leaf.PercC,SE.Mean.Leaf.PercN,SE.Mean.Leaf.PercC,Mean.Pred.Amphipod,Mean.Pred.Gastropod,Mean.Pred.Isopod,Mean.Pred.Lettuce,Mean.Pred.Shrimp,Mean.Pred.Squid,Mean.Pred.Crustacean,SD.Pred.Amphipod,SD.Pred.Gastropod,SD.Pred.Isopod,SD.Pred.Lettuce,SD.Pred.Shrimp,SD.Pred.Squid,SD.Pred.Crustacean,SE.Pred.Amphipod,SE.Pred.Gastropod,SE.Pred.Isopod,SE.Pred.Lettuce,SE.Pred.Shrimp,SE.Pred.Squid,SE.Pred.Crustacean,Median.Mesograzer.Size.unw,SD.Median.Mesograzer.Size.unw,SE.Median.Mesograzer.Size.unw,Median.Mesograzer.Size.w,SD.Median.Mesograzer.Size.w,SE.Median.Mesograzer.Size.w,Median.Crustacean.Size.unw,SD.Median.Crustacean.Size.unw,SE.Median.Crustacean.Size.unw,Median.Crustacean.Size.w,SD.Median.Crustacean.Size.w,SE.Median.Crustacean.Size.w,Average.Crustacean.Size.unw,SD.Average.Crustacean.Size.unw,SE.Average.Crustacean.Size.unw,Average.Crustacean.Size.w,SD.Average.Crustacean.Size.w,SE.Average.Crustacean.Size.w,Median.Gammarid.Size.unw,SD.Median.Gammarid.Size.unw,SE.Median.Gammarid.Size.unw,Median.Gammarid.Size.w,SD.Median.Gammarid.Size.w,SE.Median.Gammarid.Size.w,Average.Gammarid.Size.unw,SD.Average.Gammarid.Size.unw,SE.Average.Gammarid.Size.unw,Average.Gammarid.Size.w,SD.Average.Gammarid.Size.w,SE.Average.Gammarid.Size.w,Median.Isopod.Size.unw,SD.Median.Isopod.Size.unw,SE.Median.Isopod.Size.unw,Median.Isopod.Size.w,SD.Median.Isopod.Size.w,SE.Median.Isopod.Size.w,Average.Isopod.Size.unw,SD.Average.Isopod.Size.unw,SE.Average.Isopod.Size.unw,Average.Isopod.Size.w,SD.Average.Isopod.Size.w,SE.Average.Isopod.Size.w,Median.Gastropod.Size.unw,SD.Median.Gastropod.Size.unw,SE.Median.Gastropod.Size.unw,Median.Gastropod.Size.w,SD.Median.Gastropod.Size.w,SE.Median.Gastropod.Size.w,Average.Gastropod.Size.unw,SD.Average.Gastropod.Size.unw,SE.Average.Gastropod.Size.unw,Average.Gastropod.Size.w,SD.Average.Gastropod.Size.w,SE.Average.Gastropod.Size.w
BB,BB.A,A,"Westside Park, Bodega Bay",Pacific,East.Pacific,East,2011,38.319755,-123.055136,1,July,7/1/2014,13,33,14.5,Intertidal,0.82,29.455,69.68,0,1,6.72,0.1301,,327.0626432,215.4225727,48.16995165,6.690574235,0.235207051,6.455367184,6.268088951,1.539249809,4.728839142,0.119131145,0.235207051,0,1.303745798,0.085903976,1.288681065,1.290393062,0.265137152,1.139077015,0.053745009,0.085903976,0,5.830528457,0.38417426,5.763156924,5.770813209,1.185729392,5.094107273,0.240354986,0.38417426,0,3.623839515,0.33053938,3.293300136,2.353813191,0.676395085,1.677418106,0.932327168,0.33053938,0,0.804771838,0.150099784,0.819572605,0.522298219,0.219682325,0.399786436,0.539405562,0.150099784,0,3.599049072,0.671266639,3.665240116,2.335788646,0.982449225,1.787899293,2.412295008,0.671266639,0,6.35,0.493510518,2.207046133,22,0.3369484,0.247316403,0.055301629,0,0,0,0.3369484,0.247316403,0.055301629,51.79235,80.15291871,17.92273748,0.74425,14.72,67.811875,0.093678833,5.063997342,21.27834428,0.020947224,1.132344229,4.757982427,BB,BB.A,63.45775,0,186.85,0,NA,250.30775,186.85,63.45775,40.75035248,0,133.650477,0,NA,133.650477,40.75035248,9.112055826,0,29.88515518,0,NA,29.88515518,9.112055826,2.95128001,35.23648682,0.297687568,0.297687568,0.066564964,0.26922268,0.526315789,0.1875,NA,0.2,NA,0.4,0.526315789,0.512989176,0.403112887,NA,0.410391341,NA,0.50262469,0.512989176,0.117687788,0.100778222,NA,0.091766294,NA,0.112390297,0.117687788,2.04,0.373320802,0.083477069,1.6,0.454219979,0.101566675,2.065,0.438027877,0.097946011,1.66,0.558569602,0.12489996,2.309809524,0.576554213,0.128921441,1.877975153,0.453340671,0.101370056,1.338888889,0.222654808,0.052480241,1.111111111,0.18435544,0.043452994,1.455555556,0.392078424,0.092413771,1.263315813,0.254074116,0.059885843,3.757142857,2.655721586,1.00376841,3.757142857,2.655721586,1.00376841,3.795238095,2.688275543,1.016072649,3.848571429,2.739436856,1.035409807,2.2,0.94751136,0.299629401,2.14,1.127632722,0.356588777,2.213333333,0.935341754,0.295781033,2.179880952,1.027942999,0.325064118
BB,BB.B,B,"Sacramento Landing, Tomales Bay",Pacific,East.Pacific,East,2014,38.1496437,-122.9063846,1,July,7/1/2014,18.4,34,14.5,Intertidal,1.6,NA,NA,NA,0.95,6.54,0.0757,,389.9286988,253.3614066,56.6533328,5.147741262,0.600590823,4.54715044,3.644760089,0.337841859,3.30691823,0.030916404,0.600590823,0,0.634595869,0.131787124,0.576402866,0.496286538,0.079389712,0.480497201,0.017442958,0.131787124,0,2.837999001,0.589369935,2.577751984,2.219460872,0.355041587,2.148848807,0.078007279,0.589369935,0,4.314323934,2.725370101,1.588953833,1.141749524,0.092001376,1.049748148,0.164978279,2.725370101,0,0.923022825,0.85797796,0.280217278,0.220923735,0.021550348,0.212679316,0.135006383,0.85797796,0,4.127883565,3.836994086,1.253169764,0.988000981,0.096376087,0.951130816,0.603766898,3.836994086,0,4.65,0.498814384,2.230765741,17,0.141452708,0.06010428,0.013439726,0.375009244,0.809882386,0.181095207,0.516461952,0.82260878,0.183940915,0,0,0,0.823125,17.06125,73.30875,0.089062644,4.021344982,14.28732479,0.019915013,0.899200074,3.194742945,BB,BB.B,183.45,0,241.05,0,0,424.5,241.05,183.45,54.92432593,0,69.88051833,0,0,69.88051833,54.92432593,12.28145264,0,15.62575893,0,0,15.62575893,12.28145264,2.075897902,32.9023232,0.453184069,0.453184069,0.101335038,1.535287144,0.85,0.15,NA,0.25,NA,0.55,0.85,0.366347549,0.366347549,NA,0.444261658,NA,0.510417786,0.366347549,0.081917802,0.081917802,NA,0.099339927,NA,0.114132887,0.081917802,2.05,0.388435777,0.091555191,1.6,0.34299717,0.080845208,1.844444444,0.398854569,0.094010924,1.555555556,0.391411056,0.092256471,2.192962963,0.631568117,0.148862033,1.639035168,0.368884491,0.086946908,1.2125,0.16683325,0.041708313,1.1375,0.199582898,0.049895725,1.216666667,0.172562388,0.043140597,1.18595467,0.163992129,0.040998032,3.7,3.726929031,2.151743479,3.7,3.726929031,2.151743479,3.833333333,3.625373544,2.093110392,3.833333333,3.625373544,2.093110392,2.49375,0.831439515,0.207859879,2.58125,1.369777963,0.342444491,2.737916667,0.795720847,0.198930212,2.744815101,0.915379026,0.228844757
BC,BC.A,A,Tsawwassen,Pacific,East.Pacific,East,2011,49,-123.1,1,May,5/16/2014,24.5,26,14,Intertidal,0.5,13.895,86.04,0,1,5.2,0.0372,,75.030012,40.66227211,10.86744934,5.908945506,1.698180241,3.180829544,2.88076824,1.668950233,1.211818007,0.139639494,1.698180241,1.029935721,0.557444589,0.241216803,0.376888312,0.34665516,0.188683603,0.245039735,0.039659521,0.241216803,0.221155577,2.298402921,0.994562356,1.55395032,1.429295839,0.777962424,1.010324709,0.163520394,0.994562356,0.911847804,20.62560196,9.341260214,4.086091248,2.182993795,1.878021271,0.304972524,1.839744552,9.341260214,7.198250502,3.384721444,2.053541281,0.793330409,0.461148061,0.45026138,0.062374461,0.653604231,2.053541281,2.040825531,13.95556403,8.466967608,3.270985074,1.901362164,1.856475228,0.257176492,2.69487928,8.466967608,8.414539229,8.3,0.465097613,2.079979757,20,0.014609433,0.008130027,0.001817929,0,0,0,0.014609433,0.008130027,0.001817929,84.7645,23.09865591,5.165016481,0.7545,16.7416,59.6941,0.107236826,3.793008893,12.86108072,0.023978883,0.848142572,2.875825075,BC,BC.A,75.8125,0,45.4375,0,0,121.25,45.4375,75.8125,33.02265186,0,18.56155301,0,0,18.56155301,33.02265186,11.67527053,0,6.5625,0,0,6.5625,11.67527053,2.753508061,35.43433161,0.430937704,0.430937704,0.0963606,0.856978445,1,0.3,NA,0.5,NA,0.65,1,0,0.470162346,NA,0.512989176,NA,0.489360485,0,0,0.105131497,NA,0.114707867,NA,0.109424331,0,2.705,0.278104486,0.062186054,1.81,0.847224571,0.189445173,2.01,0.535969363,0.119846393,1.15,0.193309133,0.043225236,2.632333333,0.816374169,0.182546814,1.540205371,0.316458283,0.070762223,1.705,0.496805585,0.111089106,1.1,0.13764944,0.030779351,2.119333333,0.798805834,0.178618415,1.459847929,0.359814906,0.080457059,3.415384615,2.205994165,0.611832698,3.284615385,2.326960161,0.645382629,3.753846154,1.94505729,0.53946183,3.601443001,2.058036755,0.570796696,3.22,0.670113894,0.149842022,3.295,0.855616121,0.191321581,3.261666667,0.665384293,0.148784451,3.23166137,0.598414386,0.133809525
BC,BC.B,B,White Rock,Pacific,East.Pacific,East,2014,49,-122.8,1,May,5/29/2014,22.5,26,14,Intertidal,0.5,NA,NA,NA,0.95,6,0.0775,,210.0840336,134.8099986,30.1444321,41.21514706,13.22638714,24.52342943,23.13013021,1.059185514,22.0709447,0.067374128,13.22638714,3.465330486,3.239249728,1.820581817,2.228331867,2.202572093,0.259543564,2.108759542,0.032897944,1.820581817,0.621272718,14.48636518,8.141889403,9.965403062,9.850201851,1.160714102,9.43065937,0.147124079,8.141889403,2.778416059,64.91519269,17.80939033,15.42871397,12.81815306,0.525506819,12.29264624,2.059035317,17.80939033,31.67708839,10.08912472,4.669493877,1.982352945,1.663327212,0.15221718,1.671893846,1.061734943,4.669493877,5.233646253,45.11993741,20.88261146,8.86535188,7.43862543,0.680735922,7.476936583,4.748223014,20.88261146,23.40557758,7.85,0.371872927,1.663066287,14,0.029271419,0.012940491,0.002893582,0,0,0,0.029271419,0.012940491,0.002893582,0.14385,0.424430674,0.094905584,0.5535,9.987,50.169,0.046143369,1.837392603,10.57286791,0.010317971,0.410853476,2.364165136,BC,BC.B,253.175,0,70.35,0,0,323.525,70.35,253.175,61.08821813,0,38.11861681,0,0,38.11861681,61.08821813,13.65974084,0,8.523581839,0,0,8.523581839,13.65974084,1.978431642,36.05358467,0.248517288,0.248517288,0.055570155,0.291417153,0.368421053,0.294117647,NA,0.368421053,NA,0.25,0.368421053,0.495594628,0.469668218,NA,0.495594628,NA,0.444261658,0.495594628,0.113697205,0.113911275,NA,0.113697205,NA,0.099339927,0.113697205,2.665,0.279614396,0.06252368,1.47,0.245163748,0.054820281,2.485,0.368888801,0.082486043,1.575,0.417857946,0.093435877,3.085428571,0.578899953,0.129445965,2.161005161,0.542178532,0.121234805,1.505882353,0.693244715,0.16813654,1.429411765,0.71393689,0.17315513,1.519607843,0.694428104,0.168423554,1.482128852,0.692340364,0.167917203,7.4,1.2,0.6,7.4,1.2,0.6,7.4,1.2,0.6,7.4,1.2,0.6,2.01,0.44355027,0.099180856,1.41,0.637346473,0.142515004,2.40447619,0.653757003,0.14618451,1.649799168,0.36433196,0.081467103
CR,CR.A,A,Posedarje,Atlantic,East.Atlantic,East,2014,44.21154996,15.4906946,1,May,5/17/2014,17,25,14.85,Subtidal,3,NA,NA,NA,0.84,4.06,-0.1127,,332.6330532,74.98866177,16.76797452,0.012468517,0.012468517,0,0,0,0,0,0.012468517,0,0.0124685,0.0124685,0,0,0,0,0,0.0124685,0,0.055760827,0.055760827,0,0,0,0,0,0.055760827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0.223606798,1,0.309004068,0.178517464,0.039917718,0,0,0,0.309004068,0.178517464,0.039917718,0,0,0,0.529458333,9.688416667,47.26179167,0.036581115,1.33333503,5.694397564,0.008179786,0.298142776,1.273306004,CR,CR.A,43.94736842,23.63157895,80.325,24.216,0,144.525,104.541,64.2,14.00386329,14.4682047,28.37125816,12.21420502,0,31.90329036,27.07513911,3.212706574,3.3192338,6.344006185,2.731179271,0,7.133792595,6.054185155,1.528303111,34.83553181,0.109536086,0.109536086,0.024493013,0.190846965,0.85,0.4,NA,0,NA,0.842105263,0.85,0.366347549,0.50262469,NA,0,NA,0.374634325,0.366347549,0.081917802,0.112390297,NA,0,NA,0.085947009,0.081917802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CR,CR.B,B,Sveti Duh,Atlantic,East.Atlantic,East,2014,44.20557132,15.47773378,1,June,6/5/2014,19,20,15.383,Subtidal,3,NA,NA,NA,1,6.13,0.0594,,447.2243443,98.90794288,22.11648838,0.739226149,0.706117951,0.033108198,0,0,0,0.033108198,0.706117951,0,0.204895407,0.208199058,0.033108198,0,0,0,0.033108198,0.208199058,0,0.916320116,0.931094495,0.148064361,0,0,0,0.148064361,0.931094495,0,8.866627131,7.641392063,1.225235068,0,0,0,1.225235068,7.641392063,0,2.81102828,2.717757439,1.225235068,0,0,0,1.225235068,2.717757439,0,12.57130064,12.15418076,5.479417801,0,0,0,5.479417801,12.15418076,0,0.65,0.131289155,0.587142949,3,0.294211101,0.251299377,0.056192249,0,0,0,0.294211101,0.251299377,0.056192249,0,0,0,0.4685,5.183916667,27.60055,0.031668513,0.550648548,3.123710433,0.007081295,0.123128758,0.698482887,CR,CR.B,39.15789474,3.210526316,39.5,1.421052632,0,81.86842105,40.92105263,42.36842105,12.26677155,8.206223569,10.73804245,3.083392603,0,10.03087339,16.27868588,2.814190397,1.882636802,2.463475888,0.707378777,0,2.301240181,3.734586668,1.496188617,36.68858509,0.284671002,0.284671002,0.063654371,0.336668277,0.9,0.15,NA,0,NA,0.8,0.9,0.307793506,0.366347549,NA,0,NA,0.410391341,0.307793506,0.06882472,0.081917802,NA,0,NA,0.091766294,0.06882472,4.9,1.27778217,0.36886394,4.733333333,1.251423432,0.361254828,8,NA,NA,8,NA,NA,8,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,8,NA,NA,8,NA,NA,8,NA,NA,4.618181818,0.864659681,0.260704703,4.436363636,0.747358986,0.225337213,4.618181818,0.864659681,0.260704703,4.557575758,0.777044387,0.234287698
ES,ES.A,A,South Bay,Atlantic,West.Atlantic,West,2014,37.265686,-75.812668,1,June,6/24/2014,28.05,35.42,14.683,Shallow.Subtidal,,NA,NA,NA,1,6.09,0.0623,,725.7448434,217.0210406,48.52737992,10.18574246,0.52758171,8.125777033,6.645868061,6.529869962,0.115998099,1.307394605,0.52758171,1.532383718,1.975821631,0.135179276,1.949909252,1.96649758,1.972832035,0.080491165,0.372134767,0.135179276,0.30238965,8.836142957,0.604540101,8.720259274,8.794444531,8.822773077,0.359967433,1.664237272,0.604540101,1.352327627,13.72520508,3.174561549,7.735428139,2.411713351,2.400963603,0.010749748,5.323714788,3.174561549,2.815215396,3.171957857,1.257676129,2.004086265,0.406987845,0.406971009,0.007399654,1.904582079,1.257676129,0.80033856,14.18542678,5.624498635,8.962546243,1.820104973,1.820029681,0.033092258,8.517549997,5.624498635,3.579222852,4.35,0.378883401,1.694418081,11,0.110502695,0.031351249,0.007010352,0,0,0,0.110502695,0.031351249,0.007010352,0,0,0,0.4,9.133,46.9555,0.036992176,1.278935001,16.38298555,0.008271702,0.28597856,3.663346936,ES,ES.A,180.45,0,182.3,0,0,362.75,182.3,180.45,51.01132485,0,66.65551661,0,0,66.65551661,51.01132485,11.406479,0,14.90462662,0,0,14.90462662,11.406479,1.841279663,36.46372032,0.201932246,0.201932246,0.046326434,0.533902004,NA,0.25,NA,0.368421053,0.947368421,1,0.947368421,NA,0.444261658,NA,0.495594628,0.229415734,0,0.229415734,NA,0.099339927,NA,0.113697205,0.052631579,0,0.052631579,2.03,0.529249717,0.118343834,1.7,0.486664263,0.108821438,1.915,0.672994096,0.150486055,1.525,0.432708727,0.096756613,2.167,0.833892374,0.186464003,1.871036228,0.582591144,0.13027134,1.495,0.235025195,0.052553231,1.405,0.264525394,0.059149676,1.593333333,0.312432449,0.069862019,1.493367605,0.234080022,0.052341884,3.178571429,1.778148809,0.475230259,3.071428571,1.799755783,0.481004966,3.170238095,1.717284909,0.458963698,3.087329932,1.734660639,0.463607557,2.792307692,1.660552889,0.460554507,2.792307692,1.660552889,0.460554507,2.792307692,1.660552889,0.460554507,2.792307692,1.660552889,0.460554507
ES,ES.B,B,Cobb Bay,Atlantic,West.Atlantic,West,2014,37.31855,-75.789076,1,June,6/25/2014,27.7,35.64,14.683,Shallow.Subtidal,,NA,NA,NA,1,5.64,0.0266,,472.6890756,90.1941598,20.16802725,9.278467547,0.674570734,7.094003774,3.426458854,3.29675291,0.129705944,3.171585751,0.674570734,1.509893039,1.012416325,0.172321211,0.949670236,0.617509194,0.617091101,0.11256522,0.527246076,0.172321211,0.425811577,4.295318691,0.73109698,4.029109581,2.61986963,2.618095813,0.477573783,2.236915653,0.73109698,1.80656552,21.59858844,4.359046996,12.05457532,0.934035032,0.899237894,0.034797138,11.12054029,4.359046996,5.184966125,3.57182122,2.660030841,2.517279784,0.221076829,0.214328175,0.031908504,2.526825481,2.660030841,1.938445204,15.15395404,11.28555507,10.67991363,0.937949551,0.909317436,0.135376317,10.72041259,11.28555507,8.224126492,3.8,0.38797721,1.735086832,9,0.028972723,0.00987263,0.002207587,0,0,0,0.028972723,0.00987263,0.002207587,0,0,0,0.4379,12.148,57.4065,0.046246365,0.890455826,5.402794866,0.010341002,0.199111976,1.208101659,ES,ES.B,102.55,0,131.85,0,0,234.4,131.85,102.55,39.197845,0,47.3300561,0,0,47.3300561,39.197845,8.764904599,0,10.58332228,0,0,10.58332228,8.764904599,1.848400511,36.84332797,0.240520684,0.240520684,0.055179229,0.361242823,NA,0.8,NA,0,0.95,0.722222222,0.95,NA,0.410391341,NA,0,0.223606798,0.460888599,0.223606798,NA,0.091766294,NA,0,0.05,0.108632485,0.05,2.295,0.455925894,0.101948129,2.155,0.571678047,0.127831097,2.155,0.530615333,0.118649195,1.96,0.672309453,0.150332964,2.367666667,0.574984465,0.128570435,2.210836525,0.541642212,0.121114881,1.338888889,0.230444299,0.054316242,1.238888889,0.293335561,0.069139855,1.364814815,0.282026333,0.066474244,1.302037037,0.246780946,0.058166827,2.484210526,0.49694976,0.114008094,2.721052632,0.665481403,0.152671904,2.631578947,0.514418488,0.118015695,2.68630117,0.481609919,0.110488893,2.88,1.588710169,0.502394267,3.04,2.067311727,0.653741369,2.895,1.584376849,0.501023952,2.926666667,1.728540382,0.546612463
FI,FI.A,A,Fårö,Atlantic,East.Atlantic,East,2014,59.92025,21.79618333,1,June,6/18/2014,14,6.5,19,Subtidal,2.5,3.67,96.33,0,0.11,1.29,-0.8,,206.9009422,79.66100699,17.81274268,183.4886133,182.3909278,1.097685548,0.509975565,0.509975565,0,0.587709983,182.3909278,0,45.29080879,45.35607876,0.191984297,0.147312632,0.147312632,0,0.121199007,45.35607876,0,202.5466544,202.8385506,0.858579878,0.658802118,0.658802118,0,0.542018435,202.8385506,0,63.51726011,59.3566918,4.160568313,1.91735617,1.91735617,0,2.243212143,59.3566918,0,11.40020327,11.34220706,0.894840216,0.734915584,0.734915584,0,0.541024995,11.34220706,0,50.98325893,50.72389198,4.001847104,3.286642409,3.286642409,0,2.419537334,50.72389198,0,4.2,0.295581496,1.321880638,7,0.523106833,0.751231802,0.167980538,0,0,0,0.523106833,0.751231802,0.167980538,4172.652703,3561.17751,796.3034993,0.3425,6.390375,25.22625,0.022912878,0.951191868,2.020164711,0.005123475,0.212692968,0.451722562,FI,FI.A,88.65,0.825,30.775,0.95,99.375,219.625,31.725,89.475,57.86738469,1.726534405,17.16059976,1.992750017,63.06635499,17.99011059,58.45341713,12.93954058,0.38606483,3.83722676,0.44559245,14.10206568,4.02271102,13.07058142,2.459293604,40.78326359,0.245708848,0.245708848,0.054942169,0.215578483,0.6,0,0.2,0,NA,0.052631579,0.4,0.50262469,0,0.410391341,0,NA,0.229415734,0.347926187,0.112390297,0,0.091766294,0,NA,0.052631579,0.077798661,1.955,0.146808145,0.032827299,1,0,0,2.977777778,0.564181401,0.132978832,3.127777778,0.830170468,0.195673056,2.986111111,0.55760488,0.131428731,3.064126984,0.590837876,0.139261823,3.030769231,0.904972021,0.250994079,3.153846154,0.920702073,0.25535681,3.052564103,0.89494067,0.248211883,3.105384615,0.900024216,0.249621805,3.04,0.878960425,0.226946606,2.946666667,1.092092792,0.281977146,3.035555556,0.880427986,0.227325529,2.991111111,0.927572927,0.2394983,1.905,0.193241055,0.043210013,1,0,0,2.146333333,0.233122461,0.052127767,1.146395157,0.127496496,0.028509083
FI,FI.B,B,Ängsö,Atlantic,East.Atlantic,East,2011,60.10785,21.70995,1,August,8/28/2014,17,6.5,14.5,Subtidal,3,6.34,92.12,1.54,0.11,1.41,-0.68,,466.3228928,182.497079,40.80758743,13.00351252,11.00163585,2.001876668,0.839117717,0.839117717,0,1.162758952,11.00163585,0,1.37630817,1.348263489,0.366003053,0.223880129,0.223880129,0,0.247292332,1.348263489,0,6.155037251,6.029617625,1.636815414,1.001222373,1.001222373,0,1.105924928,6.029617625,0,19.01361816,12.82576304,6.187855127,1.892783711,1.892783711,0,4.295071415,12.82576304,0,2.056413304,1.706127039,1.260866152,0.557972716,0.557972716,0,0.984137884,1.706127039,0,9.196559877,7.630032074,5.638764854,2.495329846,2.495329846,0,4.401198418,7.630032074,0,3.9,0.280037591,1.252366182,9,0.018184995,0.008531444,0.001907689,0,0,0,0.018184995,0.008531444,0.001907689,11.9415265,10.39653127,2.324735065,0.3245,6.58,30.827,0.03471311,1.036390497,4.701467968,0.007762087,0.23174396,1.051280197,FI,FI.B,68.85,0,45.825,7.05,0.375,115.05,52.875,68.85,20.66340523,0,15.87224904,8.685892979,1.677050983,19.23256216,20.66340523,4.620477875,0,3.54914278,1.942224715,0.375,4.300531638,4.620477875,2.061281896,39.75119419,0.123575456,0.123575456,0.027632312,0.198002361,0.35,0,0.15,0,NA,0.05,0.25,0.489360485,0,0.366347549,0,NA,0.223606798,0.344123601,0.109424331,0,0.081917802,0,NA,0.05,0.076948376,2.03,0.273572852,0.061172749,1.91,0.603411355,0.134926881,2.541176471,0.748380605,0.181508958,2.758823529,0.954632667,0.231532431,2.574901961,0.742532376,0.180090554,2.692780292,0.819156287,0.198674582,2.528571429,1.062238979,0.283895309,2.528571429,1.062238979,0.283895309,2.530952381,1.0554267,0.282074651,2.521428571,1.054060698,0.281709571,3.178571429,0.53519022,0.143035603,3.278571429,0.832215367,0.222418913,3.178571429,0.531986624,0.142179406,3.232517007,0.588526482,0.157290318,1.83,0.243007472,0.054338123,1.78,0.497995984,0.111355287,1.970166667,0.236661663,0.052919157,1.865452599,0.309032836,0.069101843
