Site.code,locale,ocean,margin,Janines.sites
BB,A,Pacific,east,BbayA
BB,B,Pacific,east,BBayB
BC,A,Pacific,east,BrColA
BC,B,Pacific,east,BrColB
CR,A,Med,central,CroA
CR,B,Med,central,CroB
ES,A,Atlantic,west,VA2A
ES,B,Atlantic,west,VA2B
FI,A,Atlantic,east,FinA
FI,B,Atlantic,east,FinB
FR,A,Med,central,FraA
FR,B,Med,central,FraB
IR,A,Atlantic,east,IreA
IR,B,Atlantic,east,IreB
JN,A,Pacific,west,JpnNA
JN,B,Pacific,west,JpnNB
JS,A,Pacific,west,JpnSA
JS,B,Pacific,west,JpnSB
KO,A,Pacific,west,KoreaA
KO,B,Pacific,west,KoreaB
LI,1,Atlantic,west,LongA
LI,2,Atlantic,west,LongB
MA,A,Atlantic,west,MassA
MA,B,Atlantic,west,MassB
MX,A,Pacific,east,MexA
MX,B,Pacific,east,MexB
NC,A,Atlantic,west,NCarA
NC,B,Atlantic,west,NCarB
NN,A,Atlantic,east,NorA
NN,B,Atlantic,east,NorB
OR,A,Pacific,east,OreA
OR,B,Pacific,east,OreB
PO,A,Atlantic,east,PortA
PO,B,Atlantic,east,PortB
QU,A,Atlantic,west,QuebA
QU,B,Atlantic,west,QuebB
RU,A,Atlantic,east,RussA
RU,B,Atlantic,east,RussB
SD,A,Pacific,east,SanDA
SD,B,Pacific,east,SanDB
SF,A,Pacific,east,SanFA
SF,B,Pacific,east,SanFB
SW,A,Atlantic,east,SwedA
SW,B,Atlantic,east,SwedB
UK,A,Atlantic,east,WalesA
UK,B,Atlantic,east,WalesB
VA,A,Atlantic,west,VA1A
VA,B,Atlantic,west,VA1B
WA,A,Pacific,east,WashA
WA,B,Pacific,east,WashB
