"unique_plot_ID","Site","Plot.ID","Treatment","Deterrent","Nutrients","Acanthochitona fascicularis.Bmass.per.g","Adamnestia sp..Bmass.per.g","Alia carinata.Bmass.per.g","Alia tuberosa.Bmass.per.g","Alvania compacta.Bmass.per.g","Alvania concinna.Bmass.per.g","Alvania spp..Bmass.per.g","amphiD.Bmass.per.g","Amphilochidae.Bmass.per.g","Amphilochus brunneus.Bmass.per.g","Ampithoe.Bmass.per.g","Ampithoe lacertosa.Bmass.per.g","Ampithoe longimana.Bmass.per.g","Ampithoe rubricata.Bmass.per.g","Ampithoe sectimanus.Bmass.per.g","Ampithoe valida.Bmass.per.g","Anachis avara.Bmass.per.g","Aoridae.Bmass.per.g","Aoroides columbiae.Bmass.per.g","Aoroides curvipes.Bmass.per.g","Apherusa cf. ovalipes.Bmass.per.g","Apherusa chiereghinii.Bmass.per.g","Aplysia fasciata cf..Bmass.per.g","Assiminea californica.Bmass.per.g","Barleeia angustata.Bmass.per.g","Batillaria cumingii.Bmass.per.g","Bittium reticulatum.Bmass.per.g","Bittium varium.Bmass.per.g","Bulla gouldiana.Bmass.per.g","Bulla striata .Bmass.per.g","Calliopius laeviusculus.Bmass.per.g","Caprella californica.Bmass.per.g","Caprella equilibra.Bmass.per.g","Caprella kroyeri.Bmass.per.g","Caprella penantis.Bmass.per.g","Caprella spp..Bmass.per.g","Cerithiopsis greenii.Bmass.per.g","Cerithium sp..Bmass.per.g","Cerithium vulgatum.Bmass.per.g","Chironomid larvae sp..Bmass.per.g","Chironomid pupa.Bmass.per.g","Chironomidae.Bmass.per.g","Columbella rustica.Bmass.per.g","Conus mediterraneus.Bmass.per.g","Cymadusa compta.Bmass.per.g","Cymodoce japonica.Bmass.per.g","Cymodoce truncata.Bmass.per.g","Deutella sp..Bmass.per.g","Dexamine spinosa.Bmass.per.g","Dexaminidae.Bmass.per.g","Dulichiella appendiculata.Bmass.per.g","dummy.x.Bmass.per.g","Edotea triloba.Bmass.per.g","Elasmopus levis.Bmass.per.g","Eogammarus confervicolus.Bmass.per.g","Eophliantidae.Bmass.per.g","Erichsonella attenuata.Bmass.per.g","Ericthonius punctatus.Bmass.per.g","Eusiroidea.Bmass.per.g","Exogone gemmifera.Bmass.per.g","Exosphaeroma oregonensis.Bmass.per.g","Gammarella fucicola.Bmass.per.g","Gammarid unknown  #1.Bmass.per.g","Gammarus annulatus.Bmass.per.g","Gammarus cf. locusta.Bmass.per.g","Gammarus duebeni.Bmass.per.g","Gammarus lawrencianus.Bmass.per.g","Gammarus mucronatus.Bmass.per.g","Gammarus oceanicus.Bmass.per.g","Gammarus salinus.Bmass.per.g","Gammarus setosus.Bmass.per.g","Gammarus sp..Bmass.per.g","Gammarus tigrinus.Bmass.per.g","Gastropoda juv..Bmass.per.g","Gibbula umbilicaris.Bmass.per.g","Grandidierella japonica.Bmass.per.g","Haminoea.Bmass.per.g","Hippolyte californiensis.Bmass.per.g","Hippolyte longirostris.Bmass.per.g","Hippolyte sp..Bmass.per.g","Hippolyte varians.Bmass.per.g","Holotelson tuberculatus.Bmass.per.g","Hourstonius vilordes.Bmass.per.g","Hyalidae.Bmass.per.g","Hydrobia spp..Bmass.per.g","Hydrobia ulvae.Bmass.per.g","Idotea balthica.Bmass.per.g","Idotea hectica.Bmass.per.g","Idotea resecata.Bmass.per.g","Idotea rufescens.Bmass.per.g","Idotea wosnesenskii.Bmass.per.g","Iphimedia rickettsi.Bmass.per.g","Ischyroceridae.Bmass.per.g","Jaera albifrons.Bmass.per.g","Jaera marina.Bmass.per.g","Jujubinus striatus.Bmass.per.g","Lacuna marmorata.Bmass.per.g","Lacuna turrita.Bmass.per.g","Lacuna vincta.Bmass.per.g","Lembos websteri.Bmass.per.g","Lepidochitona cinerea.Bmass.per.g","Liocarcinus navigator.Bmass.per.g","Littorina littorea.Bmass.per.g","Littorina obtusata.Bmass.per.g","Littorina saxatilis.Bmass.per.g","Lottia pelta.Bmass.per.g","Lysianassidae.Bmass.per.g","Margarites.Bmass.per.g","Megamoera dentata.Bmass.per.g","Melita shimizui.Bmass.per.g","Microdeutopus anomalus.Bmass.per.g","Microdeutopus gryllotalpa.Bmass.per.g","Microprotopus raneyi.Bmass.per.g","Mopalia sp..Bmass.per.g","Munna sp..Bmass.per.g","Notoacmea depicta.Bmass.per.g","Osilinus lineatus.Bmass.per.g","oth4.Bmass.per.g","Palaemon adspersus.Bmass.per.g","Palaemon serratus.Bmass.per.g","Palaemonetes pugio.Bmass.per.g","Palaemonetes vulgaris.Bmass.per.g","Paracaprella tenuis.Bmass.per.g","Paracerceis caudata.Bmass.per.g","Paracerceis cordata.Bmass.per.g","Paracerceis sculpta.Bmass.per.g","Paradexamine barnardi.Bmass.per.g","Photis brevipes.Bmass.per.g","Phyllaplysia taylori.Bmass.per.g","Platynereis dumerilii.Bmass.per.g","Pleustidae.Bmass.per.g","Pleusymtes glaber.Bmass.per.g","Podoceridae.Bmass.per.g","Podoceropsis nitida.Bmass.per.g","Pontogeneia rostrata.Bmass.per.g","Rissoa (red stout).Bmass.per.g","Rissoa lilacina.Bmass.per.g","Rissoa membranacea.Bmass.per.g","Rissoa parva.Bmass.per.g","Rissoa/Pussillina spp..Bmass.per.g","Siphonacmaea oblongata.Bmass.per.g","Theodoxus fluviatilis.Bmass.per.g","UnID Turreted Rissoids.Bmass.per.g","Unk gammaridean amphipod.Bmass.per.g","Unknown 1 Chiton.Bmass.per.g","Zeuxo sp..Bmass.per.g"
"AK_100","AK",100,"D+N+","D+","N+",0,0,0,0,0.0228815663079729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0426331070360816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK_51","AK",51,"D+N-","D+","N-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01833149129159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK_52","AK",52,"D+N-","D+","N-",0,0,0,0,0.134570635565898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0913958899885054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.575850178025737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK_53","AK",53,"D+N-","D+","N-",0,0,0,0,0.0184188251227357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK_55","AK",55,"D-N-","D-","N-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AK_56","AK",56,"D+N-","D+","N-",0,0,0,0,0.0151610865445357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.337586860391661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK_58","AK",58,"D+N+","D+","N+",0,0,0,0,0.0409643695327502,0,0,0,0,0,0,0.0615176729962307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0101699736860821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK_59","AK",59,"D-N+","D-","N+",0,0,0,0,0.0275309899216912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK_60","AK",60,"D+N+","D+","N+",0,0,0,0,0.0441907567667096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.189099613330878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK_61","AK",61,"D-N+","D-","N+",0,0,0,0,0.0636369094074563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154139400852494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
