"Site","Acanthochitona.fascicularis","Accedomoera.vagor","Acteocina.canaliculata","Alaba.picta","Alia.aurantiaca","Alia.carinata","Allorchestes.angusta","Alpheus.californiensis","Alpheus.normanni","Americorophium.brevis","Ampelisca.agassizi","Ampelisca.macrocephala","Amphilochus.brunneus","Ampithoe.lacertosa","Ampithoe.longimana","Ampithoe.plumulosa","Ampithoe.sectimana","Ampithoe.valida","Anatanais.pseudonormani","Aora.gracilis","Aoroides.columbiae","Aoroides.curvipes","Apherusa.cirrus","Apolochus.barnardi","Apolochus.picadurus","Argopecten.irradians","Assiminea.californica","Astyris.lunata","Bemlos.macromanus","Bittiolum.alternatum","Bittiolum.varium","Bittium.reticulatum","Boonea.seminuda","Calliopius.laeviusculus","Caprella.californica","Caprella.carinata","Caprella.equilibra","Caprella.incisa","Caprella.japonica","Caprella.kroyeri","Caprella.laeviuscula","Caprella.mutica","Caprella.penantis","Caprella.scaura","Cerapus.nudus","Cerithium.vulgatum","Corophium.volutator","Crassicorophium.bonellii","Crepidula.convexa","Crepidula.fornicata","Crepidula.norrisiarum","Cymadusa.compta","Cymodoce.japonica","Cymodoce.truncata","Dexamine.spinosa","Dexamine.thea","Diaphana.minuta","Dulichiella.appendiculata","Echinogammarus.marinus","Edotia.triloba","Elasmopus.levis","Elasmopus.rapax","Eobrolgus.spinosus","Eogammarus.confervicolus","Eogammarus.possjeticus","Epitonium.multistriatum","Erichsonella.attenuata","Erichsonella.crenulata","Erichsonella.filiformis","Ericthonius.difformis","Ericthonius.punctatus","Gammaropsis.nitida","Gammarus.lawrencianus","Gammarus.locusta","Gammarus.mucronatus","Gammarus.oceanicus","Gammarus.salinus","Gammarus.tigrinus","Gibbula.adansonii","Gibbula.cineraria","Gibbula.magus","Gibbula.pennanti","Gibbula.umbilicalis","Gnorimosphaeroma.oregonensis","Gnorimosphaeroma.rayi","Grandidierella.japonica","Haminoea.vesicula","Heptacarpus.brevirostris","Heptacarpus.paludicola","Heptacarpus.pandaloides","Heptacarpus.sitchensis","Heteroserolis.carinata","Hippolyte.californiensis","Hippolyte.clarki","Hippolyte.leptocerus","Hippolyte.pleuracantha","Hippolyte.varians","Hippolyte.zostericola","Hyalella.azteca","Hydrobia.acuta","Idotea.balthica","Idotea.chelipes","Idotea.fewkesi","Idotea.ochotensis","Idotea.phosphorea","Idotea.rufescens","Ilyanassa.obsoleta","Ischyrocerus.anguipes","Jaera.(Jaera).albifrons","Jujubinus.striatus","Lacuna.decorata","Lacuna.marmorata","Lacuna.parva","Lacuna.porrecta","Lacuna.turrita","Lacuna.uchidai","Lacuna.unifasciata","Lacuna.vincta","Lekanesphaera.hookeri","Lepidochitona.cinerea","Leptocheirus.pinguis","Leptocheirus.plumulosus","Leptochelia.dubia","Leptochelia.savignyi","Leptochiton.asellus","Liocarcinus.navigator","Littorina.fabalis","Littorina.littorea","Littorina.obtusata","Littorina.saxatilis","Longchaeus.suturalis","Lottia.pelta","Melita.palmata","Mesokalliapseudes.crassus.","Metacaprella.anomala","Microdeutopus.gryllotalpa","Microprotopus.raneyi","Mitrella.tuberosa","Monocorophium.acherusicum","Monocorophium.insidiosum","Monocorophium.uenoi","Myosotella.myosotis","Nereis.pelagica","Ocinebrina.aciculata","Paracaprella.tenuis","Paracerceis.cordata","Paracerceis.sculpta","Paradexamine.barnardi","Parallorchestes.cowani","Paranthura.elegans","Patella.pellucida","Pentidotea.kirchanskii","Pentidotea.resecata","Pentidotea.schmitti","Peringia.ulvae","Phorcus.lineatus","Photis.brevipes","Phtisica.marina","Phyllaplysia.taylori","Platynereis.bicanaliculata","Platynereis.dumerilii","Pleustes.(Pleustes).panoplus","Podocerus.brasiliensis","Podocerus.fulanus","Pontogeneia.rostrata","Praunus.flexuosus","Protohyale.(Protohyale).frequens","Ptilohyale.plumulosus","Puncturella.galeata","Pusillina.lineolata","Pusillina.sarsii","Pyrgocythara.plicosa","Radix.labiata","Rissoa.lilacina","Rissoa.membranacea","Rissoa.parva","Rissoa.ventricosa","Rissoella.diaphana","Seila.adamsi","Sinocorophium.alienense","Sinocorophium.heteroceratum ","Siphonacmea.oblongata","Sphaeroma.quadridentatum","Stenothoe.minuta","Stenothoe.valida","Sunamphitoe.pelagica.","Syniscia.hectica","Talassia.tenuisculpta","Tanais.dulongii","Tectura.depicta","Tegula.aureotincta","Testudinalia.testudinalis","Theodoxus.fluviatilis","Tricolia.tenuis","Turritella.communis","Unciola.irrorata","Zeuxo.normani","NA"
"BB.A",0,0,0,0,0,4,7,1,1,0,0,0,0,7,0,0,4,2,0,0,71,0,0,5,0,0,0,0,0,0,0,0,0,0,579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,1,0,0,3,8,0,0,0,23,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,19
"BB.B",0,0,0,0,0,15,0,0,0,0,0,0,0,4,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,3,0,0,0,2,0,0,2,0,0,0,0,0,109,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,2
"BC.A",0,0,0,0,0,0,0,0,0,0,1,0,0,105,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,31,0,0,0,0,0,0,0,231,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,170,0,0,168,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252
"BC.B",0,0,0,2,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,522,0,0,0,0,0,80,0,0,0,0,0,0,0,48,0,0,0,0,0,10,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,16,0,0,196,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1245
"CR.A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CR.B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
"ES.A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,27,0,0,0,0,0,39,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76
"ES.B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,91,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82
"FI.A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,17,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,15743
"FI.B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,28,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,0,0,0,0,191
