"","BB.A","BB.B","BC.A","BC.B","ES.A","ES.B","FI.A","FI.B","FR.A","FR.B","IR.A","IR.B","JN.A","JN.B","JS.A","JS.B","KO.A","KO.B","LI.1","LI.2","MA.A","MA.B","MX.A","MX.B","NC.A","NC.B","NN.A","NN.B","OR.A","OR.B","PO.A","PO.B","QU.A","QU.B","RU.A","RU.B","SD.A","SD.B","SF.A","SF.B","SW.A","SW.B","UK.A","UK.B","VA.A","VA.B","WA.A","WA.B"
"BB.A",0,0.237582286056254,0.92443919716647,0.950837988826816,1,1,1,1,1,1,1,1,0.983779399837794,0.964963503649635,0.982942430703625,0.98471615720524,0.988412514484357,0.975501113585746,1,1,1,1,0.994275901545507,0.994744744744745,0.994252873563218,0.994088669950739,1,1,0.952331606217617,0.96512641673932,1,1,1,1,1,1,0.994118977606876,0.900191938579655,0.981900452488688,0.995896464646465,1,1,0.999043977055449,0.996298581122764,1,0.997366688610928,0.86888657648283,0.939061547836685
"BB.B",0.237582286056254,0,0.957805907172996,0.962393162393162,1,1,1,1,1,1,1,1,0.995886466474702,0.991089108910891,0.988925802879291,0.990919409761635,0.990338164251208,0.967555040556199,1,1,1,0.998879551820728,0.986701358774212,0.99244284904591,1,1,1,1,0.987096774193548,0.897299690128375,1,1,1,1,1,1,0.986320109439125,0.890636341640455,0.904672897196262,0.997460720520552,0.997760358342665,0.993031358885017,1,1,1,1,0.88768898488121,0.938978829389788
"BC.A",0.92443919716647,0.957805907172996,0,0.656917885264342,1,1,1,1,1,1,0.987956341738803,0.997701149425287,0.903830480847596,0.88937836514929,0.976241900647948,0.960176991150443,0.988249118683901,0.970654627539503,0.996178191806999,0.988904299583911,0.984600577478345,0.982300884955752,0.930499712808731,0.998118886380737,0.953623188405797,0.994017946161516,0.978996499416569,0.971806167400881,0.882476390346275,0.82646801051709,1,1,1,1,1,1,1,1,0.972552607502287,0.982289690069576,0.997816593886463,0.993168232280102,0.984615384615385,0.98011187072716,1,1,0.934668071654373,0.979128299570289
"BC.B",0.950837988826816,0.962393162393162,0.656917885264342,0,1,1,1,1,1,1,0.620777333817653,0.997929606625259,1,1,0.996086105675147,0.996,0.997888067581837,0.981670061099796,0.87672688629118,0.649664429530201,0.519779208831647,0.451680672268908,0.928451648965903,0.994826311899483,0.952574525745257,0.994540491355778,0.981112277019937,0.974004874086109,0.965681601525262,0.893187552565181,1,0.995975855130785,1,1,1,1,0.996892341842397,0.996707431796802,0.988225399495374,0.997196261682243,0.99802371541502,0.993685872138911,0.864889705882353,0.910850439882698,1,1,0.969377990430622,0.964057971014493
"ES.A",1,1,1,1,0,0.412121212121212,1,1,1,1,1,1,1,1,1,1,1,1,0.998438516590761,0.999089253187614,1,1,0.96420901932713,0.999567847882455,0.687861271676301,0.479365079365079,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9008356545961,0.7997557997558,1,1
"ES.B",1,1,1,1,0.412121212121212,0,1,1,1,1,1,1,1,1,1,1,1,1,0.998962251913348,1,1,1,1,1,0.832402234636871,0.622418879056047,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.877954920285871,0.71055753262159,1,1
"FI.A",1,1,1,1,1,1,0,0.385,0.988011988011988,0.909980430528376,0.982767359351242,0.860215053763441,1,1,1,1,1,1,0.999219664455716,0.999090909090909,0.991391678622669,0.99644128113879,1,1,1,1,0.988439306358382,0.995565410199557,1,1,1,1,0.947858472998138,1,1,1,1,1,1,1,1,1,1,1,0.993329627570873,0.985419198055893,1,1
"FI.B",1,1,1,1,1,1,0.385,0,0.988960441582337,0.899497487437186,0.972802331228752,0.904411764705882,1,1,1,1,1,1,0.999228295819936,0.99912510936133,0.985135135135135,0.996694214876033,1,1,1,1,0.992277992277992,0.996275605214153,1,1,1,1,0.990369181380417,0.997380484610347,1,1,1,1,1,1,1,1,1,1,0.987267904509284,0.973597359735974,1,1
"FR.A",1,1,1,1,1,1,0.988011988011988,0.988960441582337,0,0.923205342237062,1,1,1,1,1,1,1,1,0.999283667621776,0.999307239348805,0.987506006727535,0.985643290999448,1,1,1,1,0.997674418604651,0.998242530755712,1,1,0.996052631578947,1,1,1,1,1,1,1,1,1,0.973884657236126,0.921635434412266,1,1,0.995172968624296,0.99205298013245,1,1
"FR.B",1,1,1,1,1,1,0.909980430528376,0.899497487437186,0.923205342237062,0,0.983410138248848,0.932114882506527,1,1,1,1,1,1,0.999239158001522,0.999165623696287,0.977372721558768,0.984859954579864,1,1,0.988801791713326,1,0.994594594594595,0.996913580246914,1,1,0.998058252427184,1,1,1,1,1,1,1,1,1,0.869463869463869,0.906432748538012,0.979912115505336,0.998217468805704,0.965931863727455,0.933333333333333,1,1
