"","BB.A","BB.B","BC.A","BC.B","ES.A","ES.B","FI.A","FI.B","FR.A","FR.B","IR.A","IR.B","JN.A","JN.B","JS.A","JS.B","KO.A","KO.B","LI.1","LI.2","MA.A","MA.B","MX.A","MX.B","NC.A","NC.B","NN.A","NN.B","OR.A","OR.B","PO.A","PO.B","QU.A","QU.B","RU.A","RU.B","SD.A","SD.B","SF.A","SF.B","SW.A","SW.B","UK.A","UK.B","VA.A","VA.B","WA.A","WA.B"
"BB.A",0,0.487179487179487,0.722222222222222,0.72972972972973,1,1,1,1,1,1,1,1,0.875,0.85,0.857142857142857,0.928571428571429,0.925925925925926,0.866666666666667,1,1,1,1,0.794871794871795,0.857142857142857,0.892857142857143,0.951219512195122,1,1,0.806451612903226,0.741935483870968,1,1,1,1,1,1,0.9,0.9,0.862068965517241,0.8125,1,1,0.951219512195122,0.942857142857143,1,0.942857142857143,0.538461538461538,0.526315789473684
"BB.B",0.487179487179487,0,0.655172413793103,0.733333333333333,1,1,1,1,1,1,1,1,0.84,0.818181818181818,0.80952380952381,0.904761904761905,0.9,0.826086956521739,1,1,1,0.91304347826087,0.6875,0.828571428571429,1,1,1,1,0.75,0.666666666666667,1,1,1,1,1,1,0.696969696969697,0.696969696969697,0.727272727272727,0.76,0.909090909090909,0.92,1,1,1,1,0.625,0.612903225806452
"BC.A",0.722222222222222,0.655172413793103,0,0.333333333333333,1,1,1,1,1,1,0.894736842105263,0.9,0.818181818181818,0.866666666666667,0.777777777777778,0.888888888888889,0.882352941176471,0.9,0.894736842105263,0.9,0.882352941176471,0.9,0.862068965517241,0.9375,0.91304347826087,0.935483870967742,0.882352941176471,0.894736842105263,0.523809523809524,0.523809523809524,1,1,1,1,1,1,1,1,0.789473684210526,0.818181818181818,0.894736842105263,0.909090909090909,0.935483870967742,0.92,1,1,0.586206896551724,0.714285714285714
"BC.B",0.72972972972973,0.733333333333333,0.333333333333333,0,1,1,1,1,1,1,0.9,0.904761904761905,1,1,0.894736842105263,0.894736842105263,0.888888888888889,0.80952380952381,0.9,0.904761904761905,0.888888888888889,0.904761904761905,0.8,0.818181818181818,0.957446808510638,0.9375,0.888888888888889,0.9,0.636363636363636,0.727272727272727,1,0.894736842105263,1,1,1,1,0.935483870967742,0.935483870967742,0.8,0.826086956521739,0.9,0.91304347826087,0.9375,0.923076923076923,1,1,0.733333333333333,0.655172413793103
"ES.A",1,1,1,1,0,0.176470588235294,1,1,1,1,1,1,1,1,1,1,1,1,0.866666666666667,0.875,1,1,0.92,0.928571428571429,0.619047619047619,0.407407407407407,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.368421052631579,0.333333333333333,1,1
"ES.B",1,1,1,1,0.176470588235294,0,1,1,1,1,1,1,1,1,1,1,1,1,0.857142857142857,1,1,1,1,1,0.707317073170732,0.538461538461538,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.555555555555556,0.5,1,1
"FI.A",1,1,1,1,1,1,0,0.333333333333333,0.882352941176471,0.826086956521739,0.818181818181818,0.833333333333333,1,1,1,1,1,1,0.818181818181818,0.833333333333333,0.777777777777778,0.833333333333333,1,1,1,1,0.777777777777778,0.818181818181818,1,1,1,1,0.818181818181818,1,1,1,1,1,1,1,1,1,1,1,0.866666666666667,0.882352941176471,1,1
"FI.B",1,1,1,1,1,1,0.333333333333333,0,0.894736842105263,0.84,0.846153846153846,0.857142857142857,1,1,1,1,1,1,0.846153846153846,0.857142857142857,0.818181818181818,0.857142857142857,1,1,1,1,0.818181818181818,0.846153846153846,1,1,1,1,0.692307692307692,0.846153846153846,1,1,1,1,1,1,1,1,1,1,0.882352941176471,0.894736842105263,1,1
"FR.A",1,1,1,1,1,1,0.882352941176471,0.894736842105263,0,0.4,1,1,1,1,1,1,1,1,0.888888888888889,0.894736842105263,0.75,0.789473684210526,1,1,1,1,0.875,0.888888888888889,1,1,0.91304347826087,1,1,1,1,1,1,1,1,1,0.777777777777778,0.80952380952381,1,1,0.909090909090909,0.916666666666667,1,1
"FR.B",1,1,1,1,1,1,0.826086956521739,0.84,0.4,0,0.916666666666667,0.92,1,1,1,1,1,1,0.916666666666667,0.92,0.818181818181818,0.84,1,1,0.96078431372549,1,0.909090909090909,0.916666666666667,1,1,0.931034482758621,1,1,1,1,1,1,1,1,1,0.833333333333333,0.851851851851852,0.888888888888889,0.933333333333333,0.928571428571429,0.933333333333333,1,1
"IR.A",1,1,0.894736842105263,0.9,1,1,0.818181818181818,0.846153846153846,1,0.916666666666667,0,0.538461538461538,1,1,1,1,1,1,0.833333333333333,0.846153846153846,0.8,0.846153846153846,1,1,1,1,0.6,0.666666666666667,1,1,1,1,0.833333333333333,0.833333333333333,1,1,1,1,1,1,0.833333333333333,0.6,0.666666666666667,0.888888888888889,1,1,1,1
"IR.B",1,1,0.9,0.904761904761905,1,1,0.833333333333333,0.857142857142857,1,0.92,0.538461538461538,0,1,1,1,1,1,1,0.846153846153846,0.857142857142857,0.818181818181818,0.857142857142857,1,1,1,1,0.636363636363636,0.384615384615385,1,1,1,1,1,1,0.555555555555556,0.6,1,1,1,1,1,1,0.92,0.789473684210526,1,1,1,1
"JN.A",0.875,0.84,0.818181818181818,1,1,1,1,1,1,1,1,1,0,0.307692307692308,0.428571428571429,0.714285714285714,0.692307692307692,0.625,1,1,1,1,1,1,0.952380952380952,0.925925925925926,1,1,0.882352941176471,0.764705882352941,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.84,0.916666666666667
"JN.B",0.85,0.818181818181818,0.866666666666667,1,1,1,1,1,1,1,1,1,0.307692307692308,0,0.636363636363636,0.636363636363636,0.80952380952381,0.75,1,1,1,1,1,1,0.96,0.942857142857143,1,1,0.92,0.84,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.878787878787879,0.9375
"JS.A",0.857142857142857,0.80952380952381,0.777777777777778,0.894736842105263,1,1,1,1,1,1,1,1,0.428571428571429,0.636363636363636,0,0.4,0.333333333333333,0.5,1,1,1,1,1,1,1,1,1,1,0.846153846153846,0.692307692307692,1,0.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.80952380952381,0.9
"JS.B",0.928571428571429,0.904761904761905,0.888888888888889,0.894736842105263,1,1,1,1,1,1,1,1,0.714285714285714,0.636363636363636,0.4,0,0.555555555555556,0.666666666666667,1,1,1,1,1,1,1,1,1,1,1,0.846153846153846,1,0.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.904761904761905,0.9
"KO.A",0.925925925925926,0.9,0.882352941176471,0.888888888888889,1,1,1,1,1,1,1,1,0.692307692307692,0.80952380952381,0.333333333333333,0.555555555555556,0,0.454545454545455,1,1,1,1,1,1,1,1,1,1,1,0.833333333333333,1,0.777777777777778,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9,0.894736842105263
"KO.B",0.866666666666667,0.826086956521739,0.9,0.80952380952381,1,1,1,1,1,1,1,1,0.625,0.75,0.5,0.666666666666667,0.454545454545455,0,1,1,1,1,0.91304347826087,0.923076923076923,0.95,0.92,1,1,1,0.866666666666667,1,0.833333333333333,1,1,1,1,0.916666666666667,0.916666666666667,1,1,1,1,1,1,1,1,0.91304347826087,0.818181818181818
"LI.1",1,1,0.894736842105263,0.9,0.866666666666667,0.857142857142857,0.818181818181818,0.846153846153846,0.888888888888889,0.916666666666667,0.833333333333333,0.846153846153846,1,1,1,1,1,1,0,0.384615384615385,0.6,0.692307692307692,1,0.92,0.948717948717949,0.916666666666667,0.6,0.666666666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.916666666666667,0.888888888888889,0.75,0.777777777777778,1,1
"LI.2",1,1,0.9,0.904761904761905,0.875,1,0.833333333333333,0.857142857142857,0.894736842105263,0.92,0.846153846153846,0.857142857142857,1,1,1,1,1,1,0.384615384615385,0,0.636363636363636,0.714285714285714,0.91304347826087,0.923076923076923,0.85,0.84,0.636363636363636,0.692307692307692,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.92,0.894736842105263,0.764705882352941,0.789473684210526,1,1
"MA.A",1,1,0.882352941176471,0.888888888888889,1,1,0.777777777777778,0.818181818181818,0.75,0.818181818181818,0.8,0.818181818181818,1,1,1,1,1,1,0.6,0.636363636363636,0,0.272727272727273,1,1,1,1,0.5,0.6,1,1,1,1,1,1,1,1,1,1,1,1,0.8,0.846153846153846,0.909090909090909,0.875,0.857142857142857,0.875,1,1
"MA.B",1,0.91304347826087,0.9,0.904761904761905,1,1,0.833333333333333,0.857142857142857,0.789473684210526,0.84,0.846153846153846,0.857142857142857,1,1,1,1,1,1,0.692307692307692,0.714285714285714,0.272727272727273,0,1,1,1,0.92,0.636363636363636,0.692307692307692,1,1,1,1,1,1,1,1,0.75,0.75,1,1,0.846153846153846,0.875,0.92,0.894736842105263,0.764705882352941,0.894736842105263,0.91304347826087,0.909090909090909
"MX.A",0.794871794871795,0.6875,0.862068965517241,0.8,0.92,1,1,1,1,1,1,1,1,1,1,1,1,0.91304347826087,1,0.91304347826087,1,1,0,0.428571428571429,0.918367346938776,0.882352941176471,1,1,0.833333333333333,0.916666666666667,1,1,1,1,1,1,0.636363636363636,0.636363636363636,0.909090909090909,0.84,0.909090909090909,0.92,0.941176470588235,0.928571428571429,0.923076923076923,0.928571428571429,0.8125,0.806451612903226
"MX.B",0.857142857142857,0.828571428571429,0.9375,0.818181818181818,0.928571428571429,1,1,1,1,1,1,1,1,1,1,1,1,0.923076923076923,0.92,0.923076923076923,1,1,0.428571428571429,0,0.923076923076923,0.891891891891892,1,1,0.925925925925926,0.925925925925926,1,1,1,1,1,1,0.611111111111111,0.666666666666667,1,0.928571428571429,1,1,0.945945945945946,0.935483870967742,0.931034482758621,0.935483870967742,0.942857142857143,0.882352941176471
