"","Site","Site.Code.x","Sampling.Time","Unique.ID","Plot.ID","Site.code","locale","ocean","margin","Janines.sites","Site.Code.y","Subsite","Subsite.Name","Ocean","Coast","Basin","First.Year.In.ZEN","Latitude","Longitude"
"1","BB.A","BB",1,"BB.A.1.1",1,"BB","A","Pacific","east","BbayA","BB","A","Westside Park, Bodega Bay","Pacific","East.Pacific","East",2011,38.319755,-123.055136
"2","BB.A","BB",1,"BB.A.1.2",2,"BB","A","Pacific","east","BbayA","BB","A","Westside Park, Bodega Bay","Pacific","East.Pacific","East",2011,38.319755,-123.055136
"3","BB.A","BB",1,"BB.A.1.3",3,"BB","A","Pacific","east","BbayA","BB","A","Westside Park, Bodega Bay","Pacific","East.Pacific","East",2011,38.319755,-123.055136
"4","BB.A","BB",1,"BB.A.1.4",4,"BB","A","Pacific","east","BbayA","BB","A","Westside Park, Bodega Bay","Pacific","East.Pacific","East",2011,38.319755,-123.055136
"5","BB.A","BB",1,"BB.A.1.5",5,"BB","A","Pacific","east","BbayA","BB","A","Westside Park, Bodega Bay","Pacific","East.Pacific","East",2011,38.319755,-123.055136
"6","BB.A","BB",1,"BB.A.1.6",6,"BB","A","Pacific","east","BbayA","BB","A","Westside Park, Bodega Bay","Pacific","East.Pacific","East",2011,38.319755,-123.055136
"7","BB.A","BB",1,"BB.A.1.7",7,"BB","A","Pacific","east","BbayA","BB","A","Westside Park, Bodega Bay","Pacific","East.Pacific","East",2011,38.319755,-123.055136
"8","BB.A","BB",1,"BB.A.1.8",8,"BB","A","Pacific","east","BbayA","BB","A","Westside Park, Bodega Bay","Pacific","East.Pacific","East",2011,38.319755,-123.055136
"9","BB.A","BB",1,"BB.A.1.9",9,"BB","A","Pacific","east","BbayA","BB","A","Westside Park, Bodega Bay","Pacific","East.Pacific","East",2011,38.319755,-123.055136
"10","BB.A","BB",1,"BB.A.1.10",10,"BB","A","Pacific","east","BbayA","BB","A","Westside Park, Bodega Bay","Pacific","East.Pacific","East",2011,38.319755,-123.055136
"11","BB.A","BB",1,"BB.A.1.11",11,"BB","A","Pacific","east","BbayA","BB","A","Westside Park, Bodega Bay","Pacific","East.Pacific","East",2011,38.319755,-123.055136
"12","BB.A","BB",1,"BB.A.1.12",12,"BB","A","Pacific","east","BbayA","BB","A","Westside Park, Bodega Bay","Pacific","East.Pacific","East",2011,38.319755,-123.055136
"13","BB.A","BB",1,"BB.A.1.13",13,"BB","A","Pacific","east","BbayA","BB","A","Westside Park, Bodega Bay","Pacific","East.Pacific","East",2011,38.319755,-123.055136
"14","BB.A","BB",1,"BB.A.1.14",14,"BB","A","Pacific","east","BbayA","BB","A","Westside Park, Bodega Bay","Pacific","East.Pacific","East",2011,38.319755,-123.055136
"15","BB.A","BB",1,"BB.A.1.15",15,"BB","A","Pacific","east","BbayA","BB","A","Westside Park, Bodega Bay","Pacific","East.Pacific","East",2011,38.319755,-123.055136
"16","BB.A","BB",1,"BB.A.1.16",16,"BB","A","Pacific","east","BbayA","BB","A","Westside Park, Bodega Bay","Pacific","East.Pacific","East",2011,38.319755,-123.055136
"17","BB.A","BB",1,"BB.A.1.17",17,"BB","A","Pacific","east","BbayA","BB","A","Westside Park, Bodega Bay","Pacific","East.Pacific","East",2011,38.319755,-123.055136
"18","BB.A","BB",1,"BB.A.1.18",18,"BB","A","Pacific","east","BbayA","BB","A","Westside Park, Bodega Bay","Pacific","East.Pacific","East",2011,38.319755,-123.055136
"19","BB.A","BB",1,"BB.A.1.19",19,"BB","A","Pacific","east","BbayA","BB","A","Westside Park, Bodega Bay","Pacific","East.Pacific","East",2011,38.319755,-123.055136
