"","Site","Site.code","locale","ocean","margin","Janines.sites","Site.Code","Subsite","Subsite.Name","Ocean","Coast","Basin","First.Year.In.ZEN","Latitude","Longitude"
"1","BB.A","BB","A","Pacific","east","BbayA","BB","A","Westside Park, Bodega Bay","Pacific","East.Pacific","East",2011,38.319755,-123.055136
"2","BB.B","BB","B","Pacific","east","BBayB","BB","B","Sacramento Landing, Tomales Bay","Pacific","East.Pacific","East",2014,38.1496437,-122.9063846
"3","BC.A","BC","A","Pacific","east","BrColA","BC","A","Tsawwassen","Pacific","East.Pacific","East",2011,49,-123.1
"4","BC.B","BC","B","Pacific","east","BrColB","BC","B","White Rock","Pacific","East.Pacific","East",2014,49,-122.8
"5","CR.A","CR","A","Med","central","CroA","CR","A","Posedarje","Atlantic","East.Atlantic","East",2014,44.21154996,15.4906946
"6","CR.B","CR","B","Med","central","CroB","CR","B","Sveti Duh","Atlantic","East.Atlantic","East",2014,44.20557132,15.47773378
"7","ES.A","ES","A","Atlantic","west","VA2A","ES","A","South Bay","Atlantic","West.Atlantic","West",2014,37.265686,-75.812668
"8","ES.B","ES","B","Atlantic","west","VA2B","ES","B","Cobb Bay","Atlantic","West.Atlantic","West",2014,37.31855,-75.789076
"9","FI.A","FI","A","Atlantic","east","FinA","FI","A","FŒrš","Atlantic","East.Atlantic","East",2014,59.92025,21.79618333
"10","FI.B","FI","B","Atlantic","east","FinB","FI","B","€ngsš","Atlantic","East.Atlantic","East",2011,60.10785,21.70995
"11","FR.A","FR","A","Med","central","FraA","FR","A","Bouzigues, Etang de Thau","Atlantic","East.Atlantic","East",2014,43.446971,3.661503
"12","FR.B","FR","B","Med","central","FraB","FR","B","Peyrac sur mer, Etang de Bages-Sigean","Atlantic","East.Atlantic","East",2014,43.082895,2.973231
"13","IR.A","IR","A","Atlantic","east","IreA","IR","A","Greyabbey","Atlantic","East.Atlantic","East",2014,54.531944,-5.569167
"14","IR.B","IR","B","Atlantic","east","IreB","IR","B","Donegal ","Atlantic","East.Atlantic","East",2014,55.2225,-7.701944
"15","JN.A","JN","A","Pacific","west","JpnNA","JN","A","Akkeshi-ko estuary","Pacific","West.Pacific","West",2011,43.021167,144.903217
"16","JN.B","JN","B","Pacific","west","JpnNB","JN","B","Akkeshi-bay","Pacific","West.Pacific","West",2014,43.052222,144.842699
"17","JS.A","JS","A","Pacific","west","JpnSA","JS","A","Ikunoshima","Pacific","West.Pacific","West",2014,34.297834,132.91631
"18","JS.B","JS","B","Pacific","west","JpnSB","JS","B","Onoura","Pacific","West.Pacific","West",2014,34.274018,132.26617
"19","KO.A","KO","A","Pacific","west","KoreaA","KO","A","Dongdae bay","Pacific","West.Pacific","West",2014,34.89466111,128.0202722
"20","KO.B","KO","B","Pacific","west","KoreaB","KO","B","Koje bay","Pacific","West.Pacific","West",2014,34.80097222,128.5836944
"21","LI.1","LI","1","Atlantic","west","LongA","LI","1","Site 1 (Landscape Lab)","Atlantic","West.Atlantic","West",2014,40.85762,-72.45119
"22","LI.2","LI","2","Atlantic","west","LongB","LI","2","Site 2 (Tiana Beach, Summer)","Atlantic","West.Atlantic","West",2014,40.83158,-72.54082
"23","MA.A","MA","A","Atlantic","west","MassA","MA","A","Dorothy Cove","Atlantic","West.Atlantic","West",2011,42.42014,-70.91544
"24","MA.B","MA","B","Atlantic","west","MassB","MA","B","Niles Beach","Atlantic","West.Atlantic","West",2014,42.59697,-70.6556
"25","MX.A","MX","A","Pacific","east","MexA","MX","A","San Quintin Bay","Pacific","East.Pacific","East",2014,30.419675,-115.9641889
"26","MX.B","MX","B","Pacific","east","MexB","MX","B","Punta Banda Estuary","Pacific","East.Pacific","East",2014,31.7584722,-116.6227778
"27","NC.A","NC","A","Atlantic","west","NCarA","NC","A","Middle Marsh","Atlantic","West.Atlantic","West",2011,34.692458,-76.622589
"28","NC.B","NC","B","Atlantic","west","NCarB","NC","B","Shackleford Island","Atlantic","West.Atlantic","West",2014,34.670544,-76.574561
"29","NN.A","NN","A","Atlantic","east","NorA","NN","A","Misvaerfjorden","Atlantic","East.Atlantic","East",2014,67.2147,15.0083
"30","NN.B","NN","B","Atlantic","east","NorB","NN","B","Ršvika","Atlantic","East.Atlantic","East",2014,67.26672333,15.25606333
"31","OR.A","OR","A","Pacific","east","OreA","OR","A","Yaquina Bay","Pacific","East.Pacific","East",2014,44.61273333,-124.0141333
"32","OR.B","OR","B","Pacific","east","OreB","OR","B","Coos Bay","Pacific","East.Pacific","East",2014,43.34625,-124.3182833
"33","PO.A","PO","A","Atlantic","east","PortA","PO","A","Culatatra","Atlantic","East.Atlantic","East",2014,36.997057,-7.82849
"34","PO.B","PO","B","Atlantic","east","PortB","PO","B","Marim","Atlantic","East.Atlantic","East",2014,37.027333,-7.810105
"35","QU.A","QU","A","Atlantic","west","QuebA","QU","A","Pointe-Lebel","Atlantic","West.Atlantic","West",2014,49.11237,-68.17593
"36","QU.B","QU","B","Atlantic","west","QuebB","QU","B","Baie-St-Ludger","Atlantic","West.Atlantic","West",2014,49.08696,-68.32041
"37","RU.A","RU","A","Atlantic","east","RussA","RU","A","Seldianaya","Atlantic","East.Atlantic","East",2014,66.40611111,33.72305556
